2022-02-18T16-04-21,11576,St. Francis Hospital - Roslyn,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,11576,St. Francis Hospital - Roslyn,02/24/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,11576,St. Francis Hospital - Roslyn,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,11576,St. Francis Hospital - Roslyn,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,75,,
2022-03-16T18-51-35,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,59,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-23T05-25-10,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-24T05-22-24,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-25T05-22-33,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,136,04/18/2022 12:00:00 AM
2022-04-26T05-20-54,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
2022-04-28T09-22-45,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
2022-04-29T05-13-54,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
2022-04-30T05-15-55,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
2022-05-01T05-13-51,11576,St. Francis Hospital - Roslyn,NLP,NLP,NLP,173,04/25/2022 12:00:00 AM
