2022-02-18T16-04-21,57701,MONUMENT HEALTH RCH PHARMACY,02/14/2022 12:00:00 AM,,30,,
2022-03-03T09-56-49,57701,MONUMENT HEALTH RCH PHARMACY,02/28/2022 12:00:00 AM,,75,,
2022-03-03T10-04-44,57701,MONUMENT HEALTH RCH PHARMACY,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,75,,
2022-03-08T14-40-56,57701,MONUMENT HEALTH RCH PHARMACY,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,95,,
2022-04-08T05-48-29,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-16T05-33-42,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-17T05-32-24,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-18T05-31-10,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-19T05-39-24,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-20T05-27-37,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-21T05-29-54,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-22T05-26-18,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-23T05-25-10,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-24T05-22-24,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-25T05-22-33,57701,MONUMENT HEALTH RCH PHARMACY,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
