2022-02-18T16-04-21,35768,HIGHLANDS MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,35768,HIGHLANDS MEDICAL CENTER,02/21/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,35768,HIGHLANDS MEDICAL CENTER,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,35768,HIGHLANDS MEDICAL CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,,
2022-03-18T11-17-38,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,35768,HIGHLANDS MEDICAL CENTER,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
