2022-02-18T16-04-21,28594,CARTERET HEART AND VASCULAR,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,28594,CARTERET HEART AND VASCULAR,02/23/2022 12:00:00 AM,,60,18,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,28594,CARTERET HEART AND VASCULAR,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,60,18,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,28594,CARTERET HEART AND VASCULAR,02/23/2022 12:00:00 AM,02/28/2022 12:00:00 AM,60,18,02/23/2022 12:00:00 AM
2022-03-29T08-50-48,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-03-30T09-27-07,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-03-31T08-53-07,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-03-31T15-09-22,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-01T06-54-45,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-02T06-05-59,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-03T05-51-54,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-04T05-38-24,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-05T05-48-33,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-06T05-45-18,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-07T05-34-07,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-08T05-48-29,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,28594,CARTERET HEART AND VASCULAR,NLP,NLP,NLP,18,02/23/2022 12:00:00 AM
