2022-03-08T14-40-56,72455,FIVE RIVERS MED CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,15,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,16,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-28T06-21-17,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-29T08-50-48,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,72455,FIVE RIVERS MED CENTER,NLP,NLP,NLP,40,04/04/2022 12:00:00 AM
