2022-02-18T16-04-21,56352,CENTRACARE CLINIC - MELROSE,02/18/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,56352,CENTRACARE CLINIC - MELROSE,02/23/2022 12:00:00 AM,,20,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,56352,CENTRACARE CLINIC - MELROSE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,56352,CENTRACARE CLINIC - MELROSE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/04/2022 12:00:00 AM
2022-03-18T11-17-38,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,56352,CENTRACARE CLINIC - MELROSE,NLP,NLP,NLP,10,04/13/2022 12:00:00 AM
