2022-02-18T16-04-21,29169,LEXINGTON MEDICAL CTR - WC,02/18/2022 12:00:00 AM,,120,,
2022-03-03T09-56-49,29169,LEXINGTON MEDICAL CTR - WC,02/25/2022 12:00:00 AM,,210,120,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,29169,LEXINGTON MEDICAL CTR - WC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,210,210,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,29169,LEXINGTON MEDICAL CTR - WC,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,210,210,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,29169,LEXINGTON MEDICAL CTR - WC,NLP,NLP,NLP,210,03/16/2022 12:00:00 AM
