2022-03-08T14-40-56,46140,HANCOCK REGIONAL HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,46140,HANCOCK REGIONAL HOSPITAL,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
