2022-03-03T09-56-49,47905,IUH ARNETT HOSPITAL,02/23/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,47905,IUH ARNETT HOSPITAL,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,50,,
2022-03-08T14-40-56,47905,IUH ARNETT HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,50,,
2022-04-01T06-54-45,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,2,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,1,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,2,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,1,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,5,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,47905,FRANCISCAN HEALTH LAFAYETTE EAST,NLP,NLP,NLP,14,04/08/2022 12:00:00 AM
