2022-02-18T16-04-21,53566,MONROE CLINIC HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,53566,MONROE CLINIC HOSPITAL,02/21/2022 12:00:00 AM,,15,15,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,53566,MONROE CLINIC HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,53566,MONROE CLINIC HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,53566,MONROE CLINIC HOSPITAL,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
