2022-02-18T16-04-21,36301,PULMONARY ASSOCIATES PA,02/17/2022 12:00:00 AM,,10,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,36301,PULMONARY ASSOCIATES PA,02/21/2022 12:00:00 AM,,20,20,02/23/2022 12:00:00 AM
2022-03-03T09-56-49,36301,CIRCLE PHARMACY,02/23/2022 12:00:00 AM,,5,,
2022-03-03T10-04-44,36301,CIRCLE PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,5,,
2022-03-03T10-04-44,36301,PULMONARY ASSOCIATES PA,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,20,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,36301,PULMONARY ASSOCIATES PA,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,20,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,36301,CIRCLE PHARMACY,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,5,,
2022-03-16T18-51-35,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,36301,CIRCLE PHARMACY,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,36301,CIRCLE PHARMACY,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,36301,PULMONARY ASSOCIATES PA,NLP,NLP,NLP,30,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,36301,CIRCLE PHARMACY,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
