2022-02-18T16-04-21,83712,ST LUKES PHARMACY CENTRAL BOISE,02/17/2022 12:00:00 AM,,75,,
2022-03-03T09-56-49,83712,ST LUKES PHARMACY CENTRAL BOISE,02/24/2022 12:00:00 AM,,175,68,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,83712,ST LUKES PHARMACY CENTRAL BOISE,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,175,66,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,83712,ST LUKES PHARMACY CENTRAL BOISE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,250,241,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/26/2022 12:00:00 AM
2022-03-29T08-50-48,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/26/2022 12:00:00 AM
2022-03-30T09-27-07,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,83712,ST LUKES PHARMACY CENTRAL BOISE,NLP,NLP,NLP,241,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,83712,ST LUKES PHARMACY PROCUREMENT,NLP,NLP,NLP,241,04/11/2022 12:00:00 AM
