2022-03-08T14-40-56,02111,TUFTS MEDICAL CENTER,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,50,50,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,49,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,02111,TUFTS MEDICAL CENTER,NLP,NLP,NLP,45,03/25/2022 12:00:00 AM
