2022-02-18T16-04-21,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,02/17/2022 12:00:00 AM,,55,,
2022-03-03T09-56-49,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,02/24/2022 12:00:00 AM,,115,,
2022-03-03T10-04-44,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,115,,
2022-03-08T14-40-56,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,135,,
2022-04-12T07-06-55,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-16T05-33-42,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-17T05-32-24,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-18T05-31-10,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-19T05-39-24,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-20T05-27-37,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-21T05-29-54,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-22T05-26-18,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-23T05-25-10,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-24T05-22-24,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-25T05-22-33,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-26T05-20-54,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-27T05-23-49,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-28T09-22-45,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-29T05-13-54,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-04-30T05-15-55,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-01T05-13-51,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-02T06-02-50,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-03T06-05-23,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-04T05-12-02,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-05T09-49-47,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-06T06-12-41,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-07T05-45-31,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-08T10-02-59,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
2022-05-09T05-08-14,20912,ADVENTIST HEALTHCARE TAKOMA PARK CA,NLP,NLP,NLP,148,04/11/2022 12:00:00 AM
