2022-03-08T14-40-56,74631,STILLWATER MEDICAL - BLACKWELL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,25,,
2022-04-05T05-48-33,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
2022-04-20T05-27-37,74631,STILLWATER MEDICAL - BLACKWELL,NLP,NLP,NLP,,04/04/2022 12:00:00 AM
