2022-02-18T16-04-21,25301,KANAWHA-CHARLESTON HEALTH DEPT.,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25301,Amber Specialty Pharmacy Charleston,02/28/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,25301,KANAWHA-CHARLESTON HEALTH DEPT.,02/28/2022 12:00:00 AM,,40,,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,25301,KANAWHA-CHARLESTON HEALTH DEPT.,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,40,20,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,25301,Amber Specialty Pharmacy Charleston,02/28/2022 12:00:00 AM,,25,,
2022-03-08T14-40-56,25301,Amber Specialty Pharmacy Charleston,02/28/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,25301,KANAWHA-CHARLESTON HEALTH DEPT.,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,65,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,21,03/11/2022 12:00:00 AM
2022-03-19T11-58-02,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,25301,KANAWHA-CHARLESTON HEALTH DEPT.,NLP,NLP,NLP,17,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,25301,Amber Specialty Pharmacy Charleston,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
