2022-02-18T16-04-21,44106,UNIVERSITY HOSPITALS OF CLEVELAND,02/16/2022 12:00:00 AM,,50,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,44106,UNIVERSITY HOSPITALS OF CLEVELAND,02/23/2022 12:00:00 AM,,60,50,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,44106,UNIVERSITY HOSPITALS OF CLEVELAND,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,70,50,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,44106,UNIVERSITY HOSPITALS OF CLEVELAND,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,70,70,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,70,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-27T06-25-27,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,100,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,150,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,149,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,149,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,149,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,149,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,149,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,187,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,187,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,186,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,186,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,186,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-22T05-26-18,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-23T05-25-10,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-24T05-22-24,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-25T05-22-33,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-26T05-20-54,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,183,04/15/2022 12:00:00 AM
2022-04-27T05-23-49,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,196,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,196,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-05-01T05-13-51,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-05-02T06-02-50,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-05-03T06-05-23,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-05-04T05-12-02,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,193,04/28/2022 12:00:00 AM
2022-05-05T09-49-47,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-07T05-45-31,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-08T10-02-59,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-09T05-08-14,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-10T06-06-54,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-11T06-51-12,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-12T07-16-49,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-13T06-07-31,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-14T08-49-14,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-15T05-54-13,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-16T05-54-24,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,80,05/15/2022 12:00:00 AM
2022-05-17T05-27-38,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,80,05/15/2022 12:00:00 AM
2022-05-18T05-40-23,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,80,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,80,05/17/2022 12:00:00 AM
2022-05-20T05-59-40,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,80,05/17/2022 12:00:00 AM
2022-05-21T05-54-21,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,44106,UNIVERSITY HOSPITALS OF CLEVELAND,NLP,NLP,NLP,97,05/20/2022 12:00:00 AM
