2022-02-18T16-04-21,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/14/2022 12:00:00 AM,,25,25,02/16/2022 12:00:00 AM
2022-03-03T09-56-49,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,,90,54,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,54,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,90,89,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,134,03/14/2022 12:00:00 AM
2022-03-24T13-46-29,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,70503,OCHSNER LAFAYETTE GENERAL MEDICAL C,NLP,NLP,NLP,254,04/04/2022 12:00:00 AM
