2022-02-18T16-04-21,15317,Jeffreys Drug Store,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,15317,Jeffreys Drug Store,02/23/2022 12:00:00 AM,,100,50,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15317,Jeffreys Drug Store,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,50,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15317,Jeffreys Drug Store,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,50,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15317,Jeffreys Drug Store,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15317,Jeffreys Drug Store,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15317,Jeffreys Drug Store,NLP,NLP,NLP,86,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,15317,Jeffreys Drug Store,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
