2022-02-18T16-04-21,32547,Emerald Coast Infec. Diseases Med,02/17/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,,150,,
2022-03-03T10-04-44,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,150,,
2022-03-08T14-40-56,32547,Emerald Coast Infec. Diseases Med,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,150,,
2022-04-05T05-48-33,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-14T09-18-06,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-15T06-03-51,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-16T05-33-42,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-17T05-32-24,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-18T05-31-10,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-19T05-39-24,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-20T05-27-37,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-21T05-29-54,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-22T05-26-18,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-23T05-25-10,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-24T05-22-24,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-25T05-22-33,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-04-26T05-20-54,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,150,04/04/2022 12:00:00 AM
2022-05-12T07-16-49,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,71,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,71,05/11/2022 12:00:00 AM
2022-05-14T08-49-14,32547,Emerald Coast Infec. Diseases Med,NLP,NLP,NLP,71,05/11/2022 12:00:00 AM
