2022-03-08T14-40-56,36853,LAKE MARTIN COMMUNITY HOSPITAL,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,5,,
2022-06-18T04-15-18,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,3,06/17/2022 12:00:00 AM
2022-06-23T04-15-16,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-25T04-15-18,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-26T04-15-17,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-27T04-15-31,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-28T04-15-44,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-29T04-15-40,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-06-30T04-15-32,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-07-01T04-15-22,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,10,06/22/2022 12:00:00 AM
2022-07-03T14-40-38,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,13,07/01/2022 12:00:00 AM
2022-07-04T04-15-29,36853,LAKE MARTIN COMMUNITY HOSPITAL,NLP,NLP,NLP,13,07/01/2022 12:00:00 AM
