2022-03-08T14-40-56,87505,CHRISTUS ST. VINCENT HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,5,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,87505,SANTA FE RHEUMATOLOGY,NLP,NLP,NLP,57,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,87505,CHRISTUS ST. VINCENT HOSPITAL,NLP,NLP,NLP,5,03/29/2022 12:00:00 AM
