2022-02-18T16-04-21,87401,SAN JUAN REGIONAL MEDICAL CTR,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,87401,SAN JUAN REGIONAL MEDICAL CTR,02/28/2022 12:00:00 AM,,25,5,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,87401,SAN JUAN REGIONAL MEDICAL CTR,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,25,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,87401,SAN JUAN REGIONAL MEDICAL CTR,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,25,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,87401,SAN JUAN REGIONAL MEDICAL CTR,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
