2022-02-18T16-04-21,17201,WELLSPAN CHAMBERSBURG HOSPITAL,02/16/2022 12:00:00 AM,,5,0,02/15/2022 12:00:00 AM
2022-04-05T05-48-33,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-07T05-34-07,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,17201,WELLSPAN CHAMBERSBURG HOSPITAL,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
