2022-02-18T16-04-21,56347,CENTRACARE CLINIC - LONG PRAIRIE,02/18/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,56347,CENTRACARE CLINIC - LONG PRAIRIE,02/23/2022 12:00:00 AM,,35,15,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,56347,CENTRACARE CLINIC - LONG PRAIRIE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,35,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,56347,CENTRACARE CLINIC - LONG PRAIRIE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,35,03/02/2022 12:00:00 AM
2022-03-18T09-58-11,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-27T06-25-27,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-29T08-50-48,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-30T09-27-07,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
2022-03-31T08-53-07,56347,CENTRACARE CLINIC - LONG PRAIRIE,NLP,NLP,NLP,35,03/21/2022 12:00:00 AM
