2022-02-18T16-04-21,32827,UCF LAKE NONA MEDICAL CENTER,02/17/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,32827,UCF LAKE NONA MEDICAL CENTER,02/25/2022 12:00:00 AM,,15,5,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,32827,UCF LAKE NONA MEDICAL CENTER,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,32827,UCF Lake Nona Medical Center,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,25,15,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-03T05-51-54,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-04T05-38-24,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-05T05-48-33,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-06T05-45-18,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,32827,UCF Lake Nona Medical Center,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
