2022-02-18T16-04-21,11219,NEW YORK COMMUNITY HOSPITAL,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,11219,NEW YORK COMMUNITY HOSPITAL,02/24/2022 12:00:00 AM,,35,,
2022-03-03T10-04-44,11219,NEW YORK COMMUNITY HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,,
2022-03-08T14-40-56,11219,NEW YORK COMMUNITY HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,35,,
2022-04-30T05-15-55,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,20,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,2,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,2,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,125,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,101,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,67,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,46,05/08/2022 12:00:00 AM
2022-05-10T06-06-54,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,29,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,29,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,11,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,1,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,102,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,102,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,102,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,11219,NEW YORK COMMUNITY HOSPITAL,NLP,NLP,NLP,46,05/16/2022 12:00:00 AM
