2022-02-18T16-04-21,36732,WHITFIELD REGIONAL HOSPITAL,02/15/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,36732,WHITFIELD REGIONAL HOSPITAL,02/21/2022 12:00:00 AM,,15,15,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,36732,WHITFIELD REGIONAL HOSPITAL,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,15,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,36732,WHITFIELD REGIONAL HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/07/2022 12:00:00 AM
2022-03-23T08-41-43,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-28T06-21-17,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-29T08-50-48,36732,WHITFIELD REGIONAL HOSPITAL,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
