2022-02-18T16-04-21,85941,Whiteriver Indian Hospital,02/17/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,85941,Whiteriver Indian Hospital,02/23/2022 12:00:00 AM,,100,,
2022-03-03T10-04-44,85941,Whiteriver Indian Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,,
2022-03-08T14-40-56,85941,Whiteriver Indian Hospital,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,100,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-03-30T09-27-07,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-03-31T08-53-07,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-03-31T15-09-22,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-01T06-54-45,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-03T05-51-54,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-04T05-38-24,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-05T05-48-33,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-06T05-45-18,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-07T05-34-07,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
2022-04-08T05-48-29,85941,Whiteriver Indian Hospital,NLP,NLP,NLP,100,03/07/2022 12:00:00 AM
