2022-02-18T16-04-21,21208,American Infusion Services,02/17/2022 12:00:00 AM,,45,,
2022-03-03T09-56-49,21208,American Infusion Services,02/24/2022 12:00:00 AM,,110,,
2022-03-03T10-04-44,21208,American Infusion Services,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,110,,
2022-03-08T14-40-56,21208,American Infusion Services,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,135,,
2022-04-01T06-54-45,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,21208,American Infusion Services,NLP,NLP,NLP,103,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,21208,American Infusion Services,NLP,NLP,NLP,123,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,21208,American Infusion Services,NLP,NLP,NLP,109,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,21208,American Infusion Services,NLP,NLP,NLP,109,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,21208,American Infusion Services,NLP,NLP,NLP,117,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,21208,American Infusion Services,NLP,NLP,NLP,180,04/15/2022 12:00:00 AM
2022-04-16T05-33-42,21208,American Infusion Services,NLP,NLP,NLP,180,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,21208,American Infusion Services,NLP,NLP,NLP,180,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,21208,American Infusion Services,NLP,NLP,NLP,169,04/18/2022 12:00:00 AM
2022-04-19T05-39-24,21208,American Infusion Services,NLP,NLP,NLP,163,04/19/2022 12:00:00 AM
2022-04-20T05-27-37,21208,American Infusion Services,NLP,NLP,NLP,255,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,21208,American Infusion Services,NLP,NLP,NLP,254,04/21/2022 12:00:00 AM
2022-04-22T05-26-18,21208,American Infusion Services,NLP,NLP,NLP,241,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,21208,American Infusion Services,NLP,NLP,NLP,241,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,21208,American Infusion Services,NLP,NLP,NLP,241,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,21208,American Infusion Services,NLP,NLP,NLP,226,04/25/2022 12:00:00 AM
2022-04-26T05-20-54,21208,American Infusion Services,NLP,NLP,NLP,226,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,21208,American Infusion Services,NLP,NLP,NLP,307,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,21208,American Infusion Services,NLP,NLP,NLP,307,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,21208,American Infusion Services,NLP,NLP,NLP,299,04/29/2022 12:00:00 AM
2022-04-30T05-15-55,21208,American Infusion Services,NLP,NLP,NLP,292,04/29/2022 12:00:00 AM
