2022-02-18T16-04-21,25701,CABELL HUNTINGTON HOSPITAL INC,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,25701,CABELL HUNTINGTON HOSPITAL INC,02/22/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,25701,CABELL HUNTINGTON HOSPITAL INC,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,25701,CABELL HUNTINGTON HOSPITAL INC,03/07/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-04-26T05-20-54,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,26,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,25,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,25,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,25,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,33,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,33,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,33,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,27,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,25701,CABELL HUNTINGTON HOSPITAL INC,NLP,NLP,NLP,27,05/02/2022 12:00:00 AM
