2022-02-18T16-04-21,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/18/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,56085,SLEEPY EYE MEDICAL CENTER CLINIC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,,
2022-03-23T08-41-43,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,56085,SLEEPY EYE MEDICAL CENTER CLINIC,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
