2022-02-18T16-04-21,45885,JOINT TWP DIST MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,45885,JOINT TWP DIST MEMORIAL HOSPITAL,02/23/2022 12:00:00 AM,,15,15,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,45885,JOINT TWP DIST MEMORIAL HOSPITAL,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,45885,JOINT TWP DIST MEMORIAL HOSPITAL,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,45885,JOINT TWP DIST MEMORIAL HOSPITAL,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
