2022-02-18T16-04-21,13601,SAMARITAN MEDICAL CTR,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,13601,SAMARITAN MEDICAL CTR,02/24/2022 12:00:00 AM,,10,10,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,13601,SAMARITAN MEDICAL CTR,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,10,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,13601,SAMARITAN MEDICAL CTR,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,15,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/26/2022 12:00:00 AM
2022-03-29T08-50-48,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/26/2022 12:00:00 AM
2022-03-30T09-27-07,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,14,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/09/2022 12:00:00 AM
2022-04-11T07-06-23,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/09/2022 12:00:00 AM
2022-04-12T07-06-55,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,12,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,11,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,11,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,13601,SAMARITAN MEDICAL CTR,NLP,NLP,NLP,11,04/13/2022 12:00:00 AM
