2022-02-18T16-04-21,71082,North Caddo Medical Center,02/15/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,71082,North Caddo Medical Center,02/21/2022 12:00:00 AM,,25,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71082,North Caddo Medical Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,25,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,71082,North Caddo Medical Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,25,25,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,71082,North Caddo Medical Center,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
