2022-02-18T16-04-21,45242,BETHESDA NORTH HOSPITAL,02/16/2022 12:00:00 AM,,30,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,45242,BETHESDA NORTH HOSPITAL,02/23/2022 12:00:00 AM,,50,30,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,45242,BETHESDA NORTH HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,50,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,45242,BETHESDA NORTH HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,50,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-21T06-11-50,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/27/2022 12:00:00 AM
2022-03-29T08-50-48,45242,BETHESDA NORTH HOSPITAL,NLP,NLP,NLP,50,03/27/2022 12:00:00 AM
