2022-02-18T16-04-21,71446,Byrd Regional Hospital,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,71446,Byrd Regional Hospital,02/21/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71446,Byrd Regional Hospital,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,71446,Byrd Regional Hospital,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,10,02/28/2022 12:00:00 AM
2022-03-18T11-17-38,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,71446,Byrd Regional Hospital,NLP,NLP,NLP,10,03/17/2022 12:00:00 AM
