2022-03-08T14-40-56,02114,MASSACHUSETTS GENERAL HOSPITAL,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,110,110,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,02114,MASSACHUSETTS GENERAL HOSPITAL,NLP,NLP,NLP,110,03/21/2022 12:00:00 AM
