2022-03-03T09-56-49,71635,ASHLEY COUNTY MED CENTER,02/22/2022 12:00:00 AM,,25,25,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71635,ASHLEY COUNTY MED CENTER,03/01/2022 12:00:00 AM,02/24/2022 12:00:00 AM,75,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71635,ASHLEY COUNTY MED CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,75,74,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,71635,ASHLEY COUNTY MED CENTER,NLP,NLP,NLP,74,03/25/2022 12:00:00 AM
