2022-03-08T14-40-56,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,03/08/2022 12:00:00 AM,02/24/2022 12:00:00 AM,90,30,03/04/2022 12:00:00 AM
2022-03-18T11-17-38,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-29T08-50-48,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/14/2022 12:00:00 AM
2022-03-31T08-53-07,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,63353,PIKE CO MEM HOSP LOUISIANA CLINIC,NLP,NLP,NLP,90,03/30/2022 12:00:00 AM
