2022-02-18T16-04-21,55435,LX MEDICAL,02/18/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,55435,LX MEDICAL,02/23/2022 12:00:00 AM,,15,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,55435,LX MEDICAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,55435,LX MEDICAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,15,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,55435,LX MEDICAL,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,55435,LX MEDICAL,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,55435,LX MEDICAL,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,55435,LX MEDICAL,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,55435,LX MEDICAL,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,55435,LX MEDICAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,55435,LX MEDICAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,55435,LX MEDICAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,55435,LX MEDICAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,55435,LX MEDICAL,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,55435,LX MEDICAL,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,55435,LX MEDICAL,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
