2022-02-18T16-04-21,10549,NORTHERN WESTCHESTER HOSPITAL,02/17/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,10549,NORTHERN WESTCHESTER HOSPITAL,02/24/2022 12:00:00 AM,,30,30,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,10549,NORTHERN WESTCHESTER HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,10549,NORTHERN WESTCHESTER HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,02/28/2022 12:00:00 AM
2022-03-24T13-46-29,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-04T05-38-24,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-06T05-45-18,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-07T05-34-07,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-08T05-48-29,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-09T05-41-09,10549,NORTHERN WESTCHESTER HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
