2022-02-18T16-04-21,27344,CHATHAM HOSPITAL - UNC SHARED SVC,02/16/2022 12:00:00 AM,,10,10,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,27344,CHATHAM HOSPITAL - UNC SHARED SVC,02/23/2022 12:00:00 AM,,20,20,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,27344,CHATHAM HOSPITAL - UNC SHARED SVC,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,27344,CHATHAM HOSPITAL - UNC SHARED SVC,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,27344,CHATHAM HOSPITAL - UNC SHARED SVC,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
