2022-03-08T14-40-56,34224,Tringali Park R - Charlotte County,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,310,,
2022-03-16T18-51-35,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,310,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,310,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,310,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-03-31T15-09-22,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-04-01T06-54-45,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-04-02T06-05-59,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-04-03T05-51-54,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
2022-04-04T05-38-24,34224,Tringali Park R - Charlotte County,NLP,NLP,NLP,610,03/16/2022 12:00:00 AM
