2022-02-18T16-04-21,11772,Long Island Community Hospital,02/17/2022 12:00:00 AM,,15,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,11772,Long Island Community Hospital,02/24/2022 12:00:00 AM,,30,30,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,11772,Long Island Community Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,11772,Long Island Community Hospital,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,45,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11772,Long Island Community Hospital,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,11772,Long Island Community Hospital,NLP,NLP,NLP,60,03/26/2022 12:00:00 AM
