2022-02-18T16-04-21,20678,CALVERTHEALTH MEDICAL CENTER,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,20678,CALVERTHEALTH MEDICAL CENTER,02/24/2022 12:00:00 AM,,20,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,20678,CALVERTHEALTH MEDICAL CENTER,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,20678,CALVERTHEALTH MEDICAL CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,25,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,20678,CALVERTHEALTH MEDICAL CENTER,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
