provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
BEACON OHSS INC,701 E TUDOR RD,STE 110,Anchorage,Anchorage,AK,99503,00069-1101-20,Renal Paxlovid,19,POINT (-149.87097 61.181),1003803222,2022-06-17T00:00:00.000,ACTIVE,
CARRS PHARMACY,1650 W NORTHERN LIGHTS BLVD,,Anchorage,Anchorage,AK,99517,00069-1101-20,Renal Paxlovid,6,POINT (-149.91553 61.19451),1578592515,2022-06-17T00:00:00.000,ACTIVE,
CARRS PHARMACY,2920 SEWARD HWY,,Anchorage,Anchorage,AK,99503,00069-1101-20,Renal Paxlovid,3,POINT (-149.87058 61.19385),1265084933,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #17436,150 W 100TH AVE,CVS Pharmacy,Anchorage,Anchorage,AK,99515,00069-1101-20,Renal Paxlovid,28,POINT (-149.88181 61.12952),1194957043,2022-06-17T00:00:00.000,ACTIVE,
CAMAI COMM HLTH CTR INC,2 School Road,,Naknek,Bristol Bay,AK,99633,00069-1101-20,Renal Paxlovid,5,POINT (-157.007658 58.734786),,2022-06-16T00:00:00.000,ACTIVE,
DENALI PHARMACY,1650 COWLES ST,,Fairbanks,Fairbanks North Star,AK,99701,00069-1101-20,Renal Paxlovid,4,POINT (-147.738535 64.83144),1306952247,2022-06-14T00:00:00.000,ACTIVE,
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,00069-1101-20,Renal Paxlovid,4,POINT (-134.47033 58.33024),1891849261,2022-06-17T00:00:00.000,ACTIVE,
JUNEAU PHARMACY INC DBA JNU DRUG CO,202 Front St,,Juneau,Juneau,AK,99801,00069-1101-20,Renal Paxlovid,5,POINT (-134.40713 58.300609),1184799777,2022-06-04T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
SEARHC Juneau Medical Center Pharma,1200 SALMON CREEK LANE,,Juneau,Juneau,AK,99801,00069-1101-20,Renal Paxlovid,0,POINT (-134.46705 58.331065),1851486153,2022-05-16T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
SAFEWAY PHARMACY,1907 SEWARD HWY,,Seward,Kenai Peninsula,AK,99664,00069-1101-20,Renal Paxlovid,5,POINT (-149.43567 60.12637),1942229976,2022-06-17T00:00:00.000,ACTIVE,
KODIAK COMMUNITY HEALTH CENTER,1911 E. Rezanof Dr,,Kodiak,Kodiak Island,AK,99615,00069-1101-20,Renal Paxlovid,,POINT (-152.37546 57.80087),,,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
THE FAMILY HEALTH CENTER,"561 S DENALI ST, STE E",,Palmer,Matanuska Susitna,AK,99645,00069-1101-20,Renal Paxlovid,4,POINT (-149.107213 61.600325),1053851949,2022-06-17T00:00:00.000,ACTIVE,
ARCTIC SKYE FAMILY MEDICINE,2851 E PALMER WASILLA HIGHWAY #3,,Wasilla,Matanuska Susitna,AK,99654,00069-1101-20,Renal Paxlovid,1,POINT (-149.37877 61.58598),1205035573,2022-06-17T00:00:00.000,ACTIVE,
HARRY RACE PHARMACY,106 LINCOLN STREET,,Sitka,Sitka,AK,99835,00069-1101-20,Renal Paxlovid,3,POINT (-135.33813 57.0491),1205979127,2022-06-16T00:00:00.000,ACTIVE,
Southeast Alaska Regional Health Co,222 Tongass Ave,Pharmacy,Sitka,Sitka,AK,99835,00069-1101-20,Renal Paxlovid,,POINT (-135.35517 57.04967),1730548462,,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
THE ALFA DOC,154 FAIRBANKS DRIVE,,Valdez,Valdez Cordova,AK,99686,00069-1101-20,Renal Paxlovid,5,POINT (-146.352113 61.129898),1942289517,2022-06-19T00:00:00.000,ACTIVE,
"Petersburg Rexall Drug, Inc.",215 N Nordic Dr,,Petersburg,Wrangell Petersburg,AK,99833,00069-1101-20,Renal Paxlovid,3,POINT (-132.957496 56.813007),1750415295,2022-06-13T00:00:00.000,ACTIVE,
Omnicare of Prattville #48202,842 Peachtree St.,,Prattville,Autauga,AL,36066,00069-1101-20,Renal Paxlovid,5,POINT (-86.44848 32.45843),1376640573,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06800,703 S MEMORIAL DR,,Prattville,Autauga,AL,36067,00069-1101-20,Renal Paxlovid,5,POINT (-86.44989 32.46),1528073889,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04938,208 MCMEANS AVE.,CVS Pharmacy,Bay Minette,Baldwin,AL,36507,00069-1101-20,Renal Paxlovid,5,POINT (-87.78449 30.88039),1962505602,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #05606,3025 US HIGHWAY 98,,Daphne,Baldwin,AL,36526,00069-1101-20,Renal Paxlovid,5,POINT (-87.898361 30.58927),1275548539,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #06084,2 GREENO RD S,,Fairhope,Baldwin,AL,36532,00069-1101-20,Renal Paxlovid,5,POINT (-87.886775 30.523295),1356356612,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #01806,1300 SOUTH MCKENZIE ST,CVS Pharmacy,Foley,Baldwin,AL,36535,00069-1101-20,Renal Paxlovid,5,POINT (-87.68434 30.39174),1508960485,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #01318,698 S MCKENZIE ST,,Foley,Baldwin,AL,36535,00069-1101-20,Renal Paxlovid,10,POINT (-87.683995 30.39987),1548275811,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #01230,1421 GULF SHORES PKWY,,Gulf Shores,Baldwin,AL,36542,00069-1101-20,Renal Paxlovid,10,POINT (-87.689155 30.26381),1558376822,2022-06-17T00:00:00.000,ACTIVE,
ASCENSION ST VINCENTS BLOUNT,150 Gilbreath Dr,,Oneonta,Blount,AL,35121,00069-1101-20,Renal Paxlovid,5,POINT (-86.49415 33.92995),1447353941,2022-06-14T00:00:00.000,ACTIVE,
CVS Store #04870,1407 QUINTARD AVE.,CVS Pharmacy,Anniston,Calhoun,AL,36201,00069-1101-20,Renal Paxlovid,5,POINT (-85.82649 33.66254),1770686404,2022-06-17T00:00:00.000,ACTIVE,
WALGREENS STORE #07951,800 QUINTARD AVE,,Anniston,Calhoun,AL,36201,00069-1101-20,Renal Paxlovid,5,POINT (-85.82593 33.63668),1992710263,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #04863,101 CHESTNUT BYPASS,CVS Pharmacy,Centre,Cherokee,AL,35960,00069-1101-20,Renal Paxlovid,9,POINT (-85.67895 34.15713),1316040041,2022-06-17T00:00:00.000,ACTIVE,
CVS Store #10076,850 BOLL WEEVIL CIRCLE,CVS Pharmacy,Enterprise,Coffee,AL,36330,00069-1101-20,Renal Paxlovid,5,POINT (-85.83743 31.329195),1063842532,2022-06-17T00:00:00.000,ACTIVE,
