Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address
Walmart Pharmacy #4415,8115 N Loop Dr,,El Paso,EL PASO,TX,79907,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,,POINT (-106.345603 31.727437)
CVS Store #03117,1651 BELLEVUE RD,CVS Pharmacy,ATWATER,MERCED,CA,95301,0006-5055-06,Molnupiravir,12/28/2021 12:00:00 AM,,40,,,
UNITED PHARMACY,6313 4th St,,Lubbock,LUBBOCK,TX,79416,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-101.952362 33.592313)
ADENA REGIONAL MEDICAL CENTER,272 Hospital Road,,Chillicothe,ROSS,OH,45601,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,100,,,
ANGELES COMMUNITY HEALTH CENTER,6120 SEVILLE AVE,,HUNTINGTON PARK,LOS ANGELES,CA,90255,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-118.222639 33.984416)
CORNER DRUG,401 Main St,,Frankfort,BENZIE,MI,49635,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-86.239419 44.632519)
Walgreens Store #10825,1730 CARR 506,,COTO LAUREL,Ponce,PR,00780,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/25/2021 12:00:00 AM,20,0,01/04/2022 12:00:00 AM,
UTMB LEAGUE CITY,2240 GULF FWY S,,LEAGUE CITY,GALVESTON,TX,77573,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,96,,,POINT (-95.099816 29.479955)
HENDERSON HOSPITAL,1050 WEST GALLERIA DR,,HENDERSON,CLARK,NV,89011,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,48,,,
Walmart Pharmacy #1745,3601 E Main St,,Richmond,WAYNE,IN,47374,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,,,POINT (-84.853467 39.830961)
Walmart Pharmacy #3224,555 W I 30,,Garland,DALLAS,TX,75043,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-96.598358 32.839356)
Multnomah County HDC Health Center,5329 NE MLK Jr Blvd,,Portland,,OR,97211,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,,
Walmart Pharmacy #1174,34301 Highway 43,,Thomasville,CLARKE,AL,36784,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,
Siskiyou Community HC - Grants Pass,1701  NW Hawthorne ave,,Grants Pass,JOSEPHINE,OR,97526,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,20,,,POINT (-123.327519 42.458021)
