Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
Walmart Pharmacy #6786,5700 N 23rd St,,McAllen,HIDALGO,TX,78504,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,,20,,,POINT (-98.236803 26.256164),1235523739
ST LUKES HOSPITAL,915 EAST 1ST STREET,ATTN: ST. LUKES PHARMACY BUYERS,DULUTH,SAINT LOUIS,MN,55805,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,20,16,01/13/2022 12:00:00 AM,,
Moses-Ludington Hospital,101 ADIRONDACK DR,,TICONDEROGA,ESSEX,NY,12883,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,01/12/2022 12:00:00 AM,24,,,,
"V20 531 Boise, ID",500 WEST FORT ST,,BOISE,ADA,ID,83702,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,POINT (-116.194781 43.619209),
IOWA PHARMACY,615 E Miller Ave,,Iowa,CALCASIEU,LA,70647,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,5,01/13/2022 12:00:00 AM,POINT (-93.006069 30.245951),
Kinney Drugs #65,2085 Route 5 and 20,,Seneca Falls,SENECA,NY,13148,0069-1085-30,Paxlovid,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,20,01/13/2022 12:00:00 AM,,1477660645
MINOT AFB,10 Missile Ave,Bldg 194,Minot AFB,WARD,ND,58705,0006-5055-06,Molnupiravir,01/11/2022 12:00:00 AM,,40,,,POINT (-101.301051 48.418663),
Gothams - Everett,103 Garland St,,Everett,MIDDLESEX,MA,02149,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,01/06/2022 12:00:00 AM,80,80,01/14/2022 12:00:00 AM,POINT (-71.039633 42.409608),
KEMP FAMILY PHARMACY,1224 S Elm St,,Kemp,KAUFMAN,TX,75143,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/06/2022 12:00:00 AM,80,,,POINT (-96.224056 32.43334),
Walgreens Store #00185,940 CARR 123,,UTUADO,Utuado,PR,00641,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,12/31/2021 12:00:00 AM,20,13,01/14/2022 12:00:00 AM,,1174534309
BOLTONS PHARMACY,128 W. Main Street,,Watertown,JEFFERSON,NY,13601,0069-1085-30,Paxlovid,01/11/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,4,01/14/2022 12:00:00 AM,POINT (-75.907579 43.979464),
TAPM Pediatrics at Wendover,1046 E. Wendover Ave,,Greensboro,GUILFORD,NC,27405,0069-1085-30,Paxlovid,01/03/2022 12:00:00 AM,01/11/2022 12:00:00 AM,20,,,POINT (-79.772395 36.087868),
RALEIGH MEDICAL GROUP,3521 HAWORTH DR.,2ND FLOOR,RALEIGH,WAKE,NC,27609,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,,20,,,POINT (-78.633691 35.829225),
HILLCREST MEDICAL CENTER,1120 S UTICA AVE,,TULSA,TULSA,OK,74104-4012,0310-7442-02,Evusheld,01/13/2022 12:00:00 AM,,120,,,POINT (-95.967148 36.147164),1629057229
COSTWISE PHARMACY,712-A WASHINGTON ST,,WILLIAMSTON,MARTIN,NC,27892,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,01/06/2022 12:00:00 AM,20,,,POINT (-77.060662 35.845247),1528209137
San Juan Oncology Associates,2325 E 30th,,Farmington,SAN JUAN,NM,87401,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,12/28/2021 12:00:00 AM,48,47,01/14/2022 12:00:00 AM,POINT (-108.176012 36.756156),
Androscoggin Valley Hospital,59 Page Hill,,Berlin,COOS,NH,03570,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,,20,,,POINT (-71.156548 44.487099),
HEB Pharmacy 384,6030 MONTGOMERY ROAD,,SAN ANTONIO,BEXAR,TX,78239-3233,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,,60,11,01/14/2022 12:00:00 AM,POINT (-98.370773 29.510686),
