Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
Walgreens Store #00156,5984 AVE ISLA VERDE,,CAROLINA,Carolina,PR,00979,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,1,02/03/2022 12:00:00 AM,,1700891868
HEB Pharmacy 237,1100 SOUTH IH35,,GEORGETOWN,WILLIAMSON,TX,78626-5400,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,60,11,02/02/2022 12:00:00 AM,,
PROVIDENCE ST VINCENT MEDICAL CENTE,9205 SW BARNES RD,,PORTLAND,WASHINGTON,OR,97225-6603,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/21/2022 12:00:00 AM,20,,,POINT (-122.770854 45.508842),
PROVIDENCE ST JOSEPHS HOSPITAL,500 E WEBSTER AVE,,CHEWELAH,STEVENS,WA,99109,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,32,01/31/2022 12:00:00 AM,POINT (-117.710807 48.278213),
GREAT LAKES BAY HC,501 LAPEER AVE,,SAGINAW,SAGINAW,MI,48607,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,60,45,02/02/2022 12:00:00 AM,POINT (-83.935299 43.432571),
325 MEDICAL GROUP,340 Magnolia Circle,Bldg 1467,Tyndall AFB,BAY,FL,32403,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,20,,,POINT (-85.602974 30.069302),
NUCARA PHARMACY #6,722 MAIN ST,,ACKLEY,HARDIN,IA,50601,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,40,,,POINT (-93.052411 42.554199),1033120548
SALUD  INTEGRAL EN LA MONTANA- BARR,Calle Barcel? 53 salida Comerio,,Barranquitas,Bayamon,PR,00961,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,20,,,,1336282417
ROSEBUD HOSPITAL,400 Solder Creek dr,,ROSEBUD,TODD,SD,57570,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,01/31/2022 12:00:00 AM,40,,,,
Walmart Pharmacy #5482,201 Walmart Dr,,Eatonton,PUTNAM,GA,31024,0006-5055-06,Molnupiravir,02/02/2022 12:00:00 AM,,200,,,POINT (-83.387199 33.295348),1174540413
