Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address
Klingensmiths Drug Store #5,650 Main St.,,Rimersburg,CLARION,PA,16248,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,,POINT (-79.50219 41.042718)
Walmart Pharmacy #1184,1825 ROCKBRIDGE RD,,STONE MOUNTAIN,DEKALB,GA,30087,0069-1085-30,Paxlovid,12/30/2021 12:00:00 AM,,20,,,
CORNER DRUG,401 Main St,,Frankfort,BENZIE,MI,49635,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-86.239419 44.632519)
Walgreens Store #02452,2811 N MAIN ST,,ANDERSON,ANDERSON,SC,29621,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,,100,91,01/05/2022 12:00:00 AM,POINT (-82.663592 34.532061)
UPSTATE UNIVERSITY HOSPITAL AT COMM,4900 Broad Road,,Syracuse,ONONDAGA,NY,13215,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,72,,,
SAFEWAY PHARMACY,800 NE 3RD AVE,,Camas,CLARK,WA,98607,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.399737 45.587191)
RENOWN HEALTH,1155 MILL ST.,,RENO,WASHOE,NV,89502,0310-7442-02,Evusheld,12/21/2021 12:00:00 AM,12/28/2021 12:00:00 AM,24,,,POINT (-119.796721 39.524747)
Walmart Pharmacy #1126,1381 S MAIN ST,,BOERNE,KENDALL,TX,78006,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-98.725951 29.77681)
AVERA MERRILL PIONEER HOSPITAL,1100 S 10th Ave,,ROCK RAPIDS,LYON,IA,51246,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,24,,,
UNITED PHARMACY,300 East Commerce Street,,Brownwood,BROWN,TX,76801,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,40,38,01/05/2022 12:00:00 AM,POINT (-98.976201 31.730037)
HARBORVIEW MEDICAL CENTER,325 9th AVE,,Seattle,KING,WA,98104,0069-1085-30,Paxlovid,12/29/2021 12:00:00 AM,,40,,,POINT (-122.323372 47.604084)
Walmart Pharmacy #651,4145 DOWLEN RD,,BEAUMONT,JEFFERSON,TX,77706,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-94.166084 30.121013)
CARRS PHARMACY,664 E PALMER WASILLA HWY,,PALMER,MATANUSKA SUSITNA,AK,99645,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,
Walmart Pharmacy #656,1880 N Main St,,Shelbyville,BEDFORD,TN,37160,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,120,,,POINT (-86.455642 35.513617)
SAV-ON PHARMACY,3925 236TH AVE NE,,Redmond,KING,WA,98053,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,20,,,POINT (-122.024652 47.645161)
Walmart Pharmacy #757,2151 W Oaklawn Rd,,Pleasanton,ATASCOSA,TX,78064,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,60,,,POINT (-98.513894 28.939561)
Alaska RSSC,2000 E 88th Ave,,Anchorage,ANCHORAGE,AK,99507,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,,144,,,POINT (-149.845149 61.14113)
Walmart Pharmacy #1184,1825 ROCKBRIDGE RD,,STONE MOUNTAIN,DEKALB,GA,30087,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,100,,,
ST. JOSEPHS HOSPITAL AND MEDICAL C,350 W Thomas Rd.,,Phoenix,MARICOPA,AZ,85013,0310-7442-02,Evusheld,12/30/2021 12:00:00 AM,,120,,,POINT (-112.079431 33.480298)
FROEDTERT PHARMACY 050,9200 W. WISCONSIN AVE,SUITE 100E,MILWAUKEE,MILWAUKEE,WI,53226,0006-5055-06,Molnupiravir,01/03/2022 12:00:00 AM,,20,,,POINT (-88.027316 43.038407)
Meijer Store 303,2770 S State Road,,Ionia,IONIA,MI,48846,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,40,20,01/05/2022 12:00:00 AM,POINT (-85.074749 42.948119)
ASANTE ROGUE REGIONAL MEDICAL CTR,2825 E BARNETT RD,DELIVER TO PHARMACY,MEDFORD,JACKSON,OR,97504-8332,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,,,POINT (-122.831042 42.316486)
Walgreens Store #11725,2070 W OAKLAWN RD,,PLEASANTON,ATASCOSA,TX,78064,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,0,01/05/2022 12:00:00 AM,POINT (-98.512487 28.940502)
Winding Waters Community Health Ctr,Safeway #371,601 W North St,Enterprise,WALLOWA,OR,97828,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,40,,,
KING DISCOUNT DRUG,1242 MAIN STREET,,Chipley,WASHINGTON,FL,32428,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,540,,,POINT (-85.541037 30.765499)
Multnomah County HDC Health Center,600 NE 8th St,,Gresham,MULTNOMAH,OR,97030,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-122.423605 45.503001)
Walmart Pharmacy #3710,3580 MEMORIAL DR,,DECATUR,DEKALB,GA,30032,0069-1085-30,Paxlovid,12/30/2021 12:00:00 AM,,20,,,POINT (-84.267012 33.75539)
VALLEY HEALTH CENTER AT MILPITAS PH,143 N MAIN ST,STE 1038,MILPITAS,SANTA CLARA,CA,95035,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,,,POINT (-121.907434 37.432252)
ST DOMINIC JACKSON MEMORIAL HOSP,969 LAKELAND DRIVE,,JACKSON,HINDS,MS,39216,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,48,,,POINT (-90.165103 32.333691)
SD Human Service Center,3515 BROADWAY AVE,,YANKTON,YANKTON,SD,57078-0000,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM,,20,,,POINT (-97.39766 42.915206)
HEB Pharmacy 263,1628 CENTRAL BLVD,,BROWNSVILLE,CAMERON,TX,78520-8327,0069-1085-30,Paxlovid,12/25/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,0,01/04/2022 12:00:00 AM,POINT (-97.511345 25.926284)
Sams Pharmacy #4836,1900 Oxford Exchange Blvd,,Oxford,CALHOUN,AL,36203,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-85.777696 33.610869)
Walmart Pharmacy #3640,1118 Silber Rd,,Houston,HARRIS,TX,77055,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-95.467999 29.788514)
Sams Pharmacy #4776,5651 Holmes Ave NW,,Huntsville,MADISON,AL,35816,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.657994 34.73695)
Piedmont Columbus Regional Midtown,710 Center Street,Dept of Pharmacy,Columbus,MUSCOGEE,GA,31901,0310-7442-02,Evusheld,12/29/2021 12:00:00 AM,,72,24,01/05/2022 12:00:00 AM,POINT (-84.981978 32.481714)
HAMPTON APOTHECARY LP,2701 S HAMPTON RD STE 100,,DALLAS,DALLAS,TX,75224,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,,,POINT (-96.857097 32.718219)
Walmart Pharmacy #1837,9451 FM 1960 Bypass Rd W,,Humble,HARRIS,TX,77338,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,,POINT (-95.280873 30.004986)
Walgreens Store #06895,300 N 63RD ST,,PHILADELPHIA,PHILADELPHIA,PA,19139,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,100,0,01/05/2022 12:00:00 AM,POINT (-75.245729 39.967667)
Rite Aid 05783,221 EAST HARVARD BOULEVARD,,SANTA PAULA,VENTURA,CA,93060-3315,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,20,01/05/2022 12:00:00 AM,POINT (-119.069244 34.347153)
INSPIRA MEDICAL CENTER MULLICA HILL,700 MULLICA HILL RD,,MULLICA HILL,GLOUCESTER,NJ,08062,0310-7442-02,Evusheld,12/23/2021 12:00:00 AM,12/28/2021 12:00:00 AM,72,,,POINT (-75.149563 39.717915)
AURORA WEST ALLIS MEMORIAL HOSPITAL,8901 W LINCOLN AVE,,WEST ALLIS,MILWAUKEE,WI,53227,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,12/28/2021 12:00:00 AM,48,24,12/29/2021 12:00:00 AM,POINT (-88.023415 43.0027)
Rite Aid 07878,1050 NORTHERN BLVD,,CLARKS SUMMIT,LACKAWANNA,PA,18411-2220,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM,,120,120,01/05/2022 12:00:00 AM,POINT (-75.693215 41.484919)
Crossroads Pharmacy,20 Whiteville Towne Ctr,,Whiteville,COLUMBUS,NC,28472,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-78.718919 34.306366)
SAINT JOSEPH HOSPITAL,1 SAINT JOSEPH DR,,LEXINGTON,FAYETTE,KY,40504,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM,12/22/2021 12:00:00 AM,24,22,01/05/2022 12:00:00 AM,POINT (-84.521382 38.03157)
WILLOW BARK PHARMACY #2,606 HIGHWAY 20,,THIBODAUX,LAFOURCHE,LA,70301,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,,POINT (-90.805351 29.880177)
Walgreens Store #05160,6812 N LAMAR BLVD,,AUSTIN,TRAVIS,TX,78752,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,220,164,01/05/2022 12:00:00 AM,POINT (-97.719657 30.336661)
Stout Scripts DBA Table Rock Pharma,200 W. Fleming Dr.,,Morganton,BURKE,NC,28655,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,60,,,POINT (-81.679538 35.738018)
HUNTINGTON HOSPITAL,270 PARK AVE,,HUNTINGTON,SUFFOLK,NY,11743-0000,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,12/28/2021 12:00:00 AM,48,24,12/30/2021 12:00:00 AM,POINT (-73.417463 40.878899)
DRUGCO DISCOUNT PHARMACY,107 SMITH CHURCH RD,,ROANOKE RAPIDS,HALIFAX,NC,27870,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,20,,,POINT (-77.646401 36.435733)
UM BALTIMORE WASHINGTON MEDICAL CEN,301 HOSPITAL DR,,GLEN BURNIE,ANNE ARUNDEL,MD,21061-5803,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,600,599,01/03/2022 12:00:00 AM,POINT (-76.622298 39.1388)
