Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date
Jefferson Pharmacy,194B Turkeysag Trail,,Palmyra,FLUVANNA,VA,22963,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Value Specialty Pharmacy,1333 Plank Rd,Ste 200,Duncansville,BLAIR,PA,16635,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM,12/30/2021 12:00:00 AM,40,40,01/02/2022 12:00:00 AM
City Pharmacy of Zebulon PC,460 Thomaston Street,,Zebulon,PIKE,GA,30295,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,180,,
CHI ST JOSEPH MADISON HOSPITAL,100 W Cross St,,Madisonville,MADISON,TX,77864,0310-7442-02,Evusheld,12/28/2021 12:00:00 AM,,24,,
BEARSKIN HEALTH and WELLNESS,1 Turtle Dr,,Wyandotte,OTTAWA,OK,74370,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,40,,
CHOCTAW NATION HEALTH CARE CENTER,ONE CHOCTAW WAY,,TALIHINA,LE FLORE,OK,74571,0310-7442-02,Evusheld,12/27/2021 12:00:00 AM,,24,,
CHOCTAW NATION HEALTH CARE CENTER,ONE CHOCTAW WAY,,TALIHINA,LE FLORE,OK,74571,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,,20,,
MED SA-1 Vaccine Distro,45085 Old Ox Rd #100,,Sterling,LOUDOUN,VA,20166,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM,12/24/2021 12:00:00 AM,20,,
Mayo Clinic Pharmacy Mary Brigh,3551 Commercial Drive SW,,Rochester,OLMSTED,MN,55902,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM,,220,,
BON SECOURS - ST FRANCIS MED CTR,13710 ST. FRANCIS BLVD,,MIDLOTHIAN,CHESTERFIELD,VA,23114,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM,12/28/2021 12:00:00 AM,24,,
UW MEDICAL CENTER,1959 NE Pacific Street,EA151-J1,Seattle,KING,WA,98195,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,160,,
ALLINA HEALTH MERCY COON RAPIDS,11850 Blackfoot St NW,Suite 190 - Pharmacy,COON RAPIDS,ANOKA,MN,55433,0006-5055-06,Molnupiravir,12/23/2021 12:00:00 AM,,220,,
NORTH BIG HORN HOSPITAL CLINIC,1115 Lane 12,1115 Lane 12,Lovell,BIG HORN,WY,82431,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM,,20,,
LUCILE PACKARD CHILDRENS HOSPITAL,725 WELCH RD ATTN DEPARTMENT OF,PHARMACY,PALO ALTO,SANTA CLARA,CA,94304,0310-7442-02,Evusheld,12/17/2021 12:00:00 AM,12/21/2021 12:00:00 AM,24,24,01/02/2022 12:00:00 AM
Walgreens Store #02686,1515 LOCKWOOD DR,,HOUSTON,HARRIS,TX,77020,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,20,,
Walgreens Store #12626,1000 S ACADIA RD,,THIBODAUX,LAFOURCHE,LA,70301,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,
Walgreens Store #13083,447 BELMONT AVE,,HALEDON,PASSAIC,NJ,07508,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,12/30/2021 12:00:00 AM,60,,
Walgreens Store #13083,447 BELMONT AVE,,HALEDON,PASSAIC,NJ,07508,0006-5055-06,Molnupiravir,12/27/2021 12:00:00 AM,,160,,
