Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
Walmart Pharmacy #331,525 N CITIES SER HWY,,Sulphur,Calcasieu,LA,70663,0006-5055-06,Molnupiravir [Qty 24],02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,48,46,02/21/2022 12:00:00 AM,,1609893973
BUENA VISTA DRUG,403 US-24,,Buena Vista,Chaffee,CO,81211,0069-1085-30,Paxlovid,02/04/2022 12:00:00 AM,02/10/2022 12:00:00 AM,20,,,,1316052343
RWJBH UNIVERSITY HOSP HAMILTON,1 HAMILTON HEALTH PL,,Trenton,Mercer,NJ,08690,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,01/13/2022 12:00:00 AM,96,,,POINT (-74.67483 40.21712),
DESERT SPRINGS HOSPITAL,2075 E FLAMINGO RD,,Las Vegas,Clark,NV,89119,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,30,02/02/2022 12:00:00 AM,POINT (-115.125506 36.114561),
CVS Store #08645,4501 LINCOLNWAY EAST,CVS Pharmacy,Mishawaka,St Joseph,IN,46544,0069-1085-30,Paxlovid,02/17/2022 12:00:00 AM,,20,,,POINT (-86.109951 41.663332),1588607881
Othello Clinic,1515 E Columbia St,,Othello,Adams,WA,99344,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,02/08/2022 12:00:00 AM,120,91,02/17/2022 12:00:00 AM,,
Elite Health,6170 Ridgeview Ct. #C,,Reno,Washoe,NV,89519,0310-7442-02,Evusheld,02/07/2022 12:00:00 AM,02/11/2022 12:00:00 AM,48,,,POINT (-119.809488 39.472616),
Coastal Rheumatology Associates,5400 Waters Avenue,,Savannah,Chatham,GA,31404,0310-7442-02,Evusheld,02/18/2022 12:00:00 AM,,24,,,POINT (-81.09348 32.027488),
Walgreens Store #15932,901 BITTERS RD,,San Antonio,Bexar,TX,78216,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,120,47,02/21/2022 12:00:00 AM,POINT (-98.479896 29.562983),1821005893
ROSEWOOD PHARMACY,514 NC 581 HWY S,,Goldsboro,Wayne,NC,27530,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,29,02/15/2022 12:00:00 AM,POINT (-78.070256 35.415277),1417409350
WICHITA COUNTY HEALTH CENTER,211 E Earl Street,,Leoti,Wichita,KS,67861,0310-7442-02,Evusheld,02/14/2022 12:00:00 AM,,24,,,POINT (-101.355416 38.476198),1740271295
Conrad-Marr Drug,948 S YUKON PARKWAY,,Yukon,Canadian,OK,73099,0310-7442-02,Evusheld,02/08/2022 12:00:00 AM,02/15/2022 12:00:00 AM,24,,,,
CVS Store #09114,1299 BROADWAY,CVS Pharmacy,El Cajon,San Diego,CA,92021,0069-1085-30,Paxlovid,02/17/2022 12:00:00 AM,,20,,,POINT (-116.936571 32.807631),1659315901
Rite Aid 06214,1001 NORTH CENTRAL AVENUE,,Compton,Los Angeles,CA,90222-3647,0069-1085-30,Paxlovid,02/14/2022 12:00:00 AM,02/15/2022 12:00:00 AM,240,156,02/21/2022 12:00:00 AM,,
Sams Pharmacy #8265,2025 Sams Way,,Lake Charles,Calcasieu,LA,70601,0006-5055-06,Molnupiravir [Qty 24],02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,48,63,02/21/2022 12:00:00 AM,,1073531588
KROGER PHARMACY 03400320,4825 SWEETWATER BLVD,,Sugar Land,Fort Bend,TX,77479,0006-5055-06,Molnupiravir [Qty 24],02/10/2022 12:00:00 AM,02/12/2022 12:00:00 AM,24,,,POINT (-95.632054 29.586053),1245303767
THE GOLUB CORPORATION,1228 ONEILL HWY,,Scranton,Lackawanna,PA,18512,0006-5055-06,Molnupiravir  [Qty 20],01/28/2022 12:00:00 AM,02/01/2022 12:00:00 AM,20,20,02/06/2022 12:00:00 AM,POINT (-75.61933 41.436147),
CACHE RIVER MEDICAL CLINIC,115 W KIMBERLY DR,,Mccrory,Woodruff,AR,72101,0006-5055-06,Molnupiravir [Qty 24],02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,24,,,,
AURORA RETAIL PHARMACY 1297,975 PORT WASHINGTON RD,,Grafton,Ozaukee,WI,53024,0069-1085-30,Paxlovid,02/11/2022 12:00:00 AM,02/14/2022 12:00:00 AM,20,20,02/19/2022 12:00:00 AM,,1952610693
RAYNE MEDICINE SHOPPE dba meches,913 THE BLVD,,Rayne,Acadia,LA,70578,0310-7442-02,Evusheld,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,24,24,02/19/2022 12:00:00 AM,POINT (-92.269699 30.244822),1992166623
