Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date
CVS Store #02908,488 ROUTE 17M,CVS Pharmacy,MONROE,ORANGE,NY,10950,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
LUMINIS HEALTH DOCTORS COMMUNITY ME,8118 Good Luck Road,,Lanham,PRINCE GEORGES,MD,20706,0310-7442-02,Evusheld,12/20/2021 12:00:00 AM
ST LOUIS CHILDRENS HOSPITAL,4540 Forest Park Ave,,St. Louis,SAINT LOUIS CITY,MO,63108,0310-7442-02,Evusheld,12/22/2021 12:00:00 AM
GREAT LAKES BAY HC,501 LAPEER AVE,,SAGINAW,SAGINAW,MI,48607,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM
CASS FAMILY CLINIC,261 M 62,,Cassopolis,CASS,MI,49031,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM
Kinney Drugs # 43-Baldwinsville,21 East Genesee St,,Baldwinsville,ONONDAGA,NY,13027,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walgreens Store #17429,1401 S MAIN ST,,FARMVILLE,PRINCE EDWARD,VA,23901,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #11230,"CARRETERA 861, KM. 3.1, INT.",CARRETERA 862 BO. PAJARO AMERICANO,BAYAMON,Bayamon,PR,00956,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #10476,1583 ATWOOD AVE,,JOHNSTON,PROVIDENCE,RI,02919,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #10690,424 SYCOLIN RD SE,,LEESBURG,LOUDOUN,VA,20175,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walgreens Store #04145,533 ELMWOOD AVE,,PROVIDENCE,PROVIDENCE,RI,02907,0069-1085-30,Paxlovid,12/23/2021 12:00:00 AM
Walmart Pharmacy #297,23561 HIGHWAY 59,,PORTER,MONTGOMERY,TX,77365,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #4219,690 OLD SAN ANTONIO RD,,BUDA,HAYS,TX,78610,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
CVS Store #08977,3501 STOCKTON HILL RD.,CVS Pharmacy,KINGMAN,MOHAVE,AZ,86409,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #4415,8115 N Loop Dr,,El Paso,EL PASO,TX,79907,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1015,7555 N Mesa St,,El Paso,EL PASO,TX,79912,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1405,4600 7Th Street,,Bay City,MATAGORDA,TX,77414,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #3302,9460 W Sam Houston Pkwy S,,Houston,HARRIS,TX,77099,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #3302,9460 W Sam Houston Pkwy S,,Houston,HARRIS,TX,77099,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #5108,3000 Saul Kleinfeld Dr,,El Paso,EL PASO,TX,79936,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #3886,4101 S Mccoll Rd,,Edinburg,HIDALGO,TX,78539,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #7362,2035 SE 34TH AVE,,AMARILLO,POTTER,TX,79103,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #462,400 Highway 35 Byp S,,Alvin,BRAZORIA,TX,77511,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #1803,4331 Thousand Oaks Dr,,San Antonio,BEXAR,TX,78217,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #3279,2100 SE LOOP 410,,SAN ANTONIO,BEXAR,TX,78220,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #7349,7251 Arden Rd,,Amarillo,RANDALL,TX,79109,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #3383,4215 Canyon Dr,,Amarillo,RANDALL,TX,79110,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #6459,960 E FM 2410 RD,,HARKER HEIGHTS,BELL,TX,76548,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #599,3200 Fort Henry Dr,,Kingsport,SULLIVAN,TN,37664,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
KROGER PHARMACY 03400383,2303 BOONVILLE RD,,BRYAN,BRAZOS,TX,77808,0006-5055-06,Molnupiravir,12/26/2021 12:00:00 AM
Walmart Pharmacy #1022,3820 State Highway 64 W,,Tyler,SMITH,TX,75704,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #1148,3130 Lawrence Rd,,Wichita Falls,WICHITA,TX,76308,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
KROGER PHARMACY 03500495,515 S MACARTHUR BLVD,,IRVING,DALLAS,TX,75060,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #1467,539 E Central Ave,,Jamestown,FENTRESS,TN,38556,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #6813,3590 N ZARAGOZA RD,,EL PASO,EL PASO,TX,79938,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #687,168 Obed Plz Ste 108,,Crossville,CUMBERLAND,TN,38555,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #437,310 OVERCREEK WAY,,SEALY,AUSTIN,TX,77474,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #3619,3901 Hixson Pike Ste 181,,Chattanooga,HAMILTON,TN,37415,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #1232,2604 N Main St,,Belton,BELL,TX,76513,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #240,2701 State Highway 50,,Commerce,HUNT,TX,75428,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
KROGER PHARMACY 03400356,1352 W 43RD ST,,HOUSTON,HARRIS,TX,77018,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #4618,2625 W Main St,,League City,GALVESTON,TX,77573,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #972,6360 Lake Worth Blvd,,Lake Worth,TARRANT,TX,76135,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #4298,9235 N Sam Houston Pkwy E,,Humble,HARRIS,TX,77396,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #4697,3227 Old Forest Rd,,Lynchburg,LYNCHBURG CITY,VA,24501,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #2564,1036 US Highway 211 W,,Luray,PAGE,VA,22835,0069-1085-30,Paxlovid,12/24/2021 12:00:00 AM
Walmart Pharmacy #688,5824 Nolensville Pike,,Nashville,DAVIDSON,TN,37211,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #465,305 10TH ST,,FLORESVILLE,WILSON,TX,78114,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
Walmart Pharmacy #915,11210 W AIRPORT BLVD,,STAFFORD,FORT BEND,TX,77477,0006-5055-06,Molnupiravir,12/24/2021 12:00:00 AM
