Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
TOHATCHI HEALTH CENTER,07 Choosgai Drive,,Tohatchi,MCKINLEY,NM,87325,0006-5055-06,Molnupiravir,01/18/2022 12:00:00 AM,01/21/2022 12:00:00 AM,40,,,POINT (-108.155751 35.692407),
Rite Aid 02277,1799 THIRD STREET,,BEAVER,BEAVER,PA,15009-2422,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/18/2022 12:00:00 AM,220,211,01/31/2022 12:00:00 AM,,
GUNDERSEN PHARMACY VILLAGE,2511 Green Bay St,,La Crosse,LA CROSSE,WI,54601,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,,80,,,POINT (-91.218049 43.794301),1245705441
Walgreens Store #12599,700 AVE ROBERTO H TODD,,SAN JUAN,San Juan,PR,00907,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,20,0,01/31/2022 12:00:00 AM,,1467764977
Forum Extended Care Services,4201 W. Victoria St.,,CHICAGO,COOK,IL,60646,0069-1085-30,Paxlovid,01/17/2022 12:00:00 AM,01/19/2022 12:00:00 AM,160,76,01/31/2022 12:00:00 AM,POINT (-87.732744 41.984878),
Madigan Army Medical Center,Bldg. 9040A Fitsimmons DR,,Fort Lewis,PIERCE,WA,98431,0069-1085-30,Paxlovid,01/06/2022 12:00:00 AM,01/11/2022 12:00:00 AM,20,,,,
Walmart Pharmacy #127,1910 MLK Blvd,,Malvern,HOT SPRING,AR,72104,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,,20,,,,1336166719
HealthLinc - Valparaiso,1001 Sturdy Rd,,Valparaiso,PORTER,IN,46383,0069-1085-30,Paxlovid,01/06/2022 12:00:00 AM,01/17/2022 12:00:00 AM,80,29,01/29/2022 12:00:00 AM,POINT (-87.037201 41.476591),
LOWER UMPQUA HOSPITAL,600 Ranch Road,,Reedsport,DOUGLAS,OR,97467,0069-1085-30,Paxlovid,01/14/2022 12:00:00 AM,01/21/2022 12:00:00 AM,40,,,POINT (-124.135571 43.695324),
SPECTRUM PHARMACY,6250 E. GRANT RD.,Suite #388,TUCSON,PIMA,AZ,85712,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,01/25/2022 12:00:00 AM,720,0,01/04/2022 12:00:00 AM,POINT (-110.859919 32.250572),1558415992
WESTERN MISSOURI MED CENTER,403 BURKARTH RD,,WARRENSBURG,JOHNSON,MO,64093,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/14/2022 12:00:00 AM,40,,,POINT (-93.723697 38.766581),
GIBBONS PHARMACY,117 SO. TOPPENISH AVE.,,Toppenish,YAKIMA,WA,98948,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,,40,,,POINT (-120.311132 46.375411),1548275191
Harbin Clinic Medical Oncology,255 West 5th Street,Attention:Pharmacy,Rome,FLOYD,GA,30165,0310-7442-02,Evusheld,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,144,,,,
BVHS - HARRYS PHARMACY,930 SHERIDEN DR,SUITE C,CAREY,WYANDOT,OH,43316,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,,60,0,01/31/2022 12:00:00 AM,,1144868597
Walmart Pharmacy #7222,2830 Gateway Dr,,Greenville,PITT,NC,27834,0006-5055-06,Molnupiravir,01/28/2022 12:00:00 AM,,20,,,POINT (-77.431363 35.606492),1932508363
CVS Store #09796,490 RODRIGUEZ ST,CVS Pharmacy,WATSONVILLE,SANTA CRUZ,CA,95076,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,18,01/31/2022 12:00:00 AM,,1386687127
HealthPoint Auburn,126 Auburn Ave,,Auburn,KING,WA,98002,0006-5055-06,Molnupiravir,01/26/2022 12:00:00 AM,,400,,,POINT (-122.227748 47.309002),
Cayuga Medical Center of Ithaca,101 Dates Drive,,Ithaca,TOMPKINS,NY,14850,0310-7442-02,Evusheld,01/20/2022 12:00:00 AM,01/25/2022 12:00:00 AM,96,,,POINT (-76.536276 42.46843),
MERCY HOSPITAL AURORA,500 PORTER AVE,,AURORA,LAWRENCE,MO,65605,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/17/2022 12:00:00 AM,40,,,POINT (-93.710964 36.970465),
MISSOURI VETERANS HOME MEXICO,#1 VETERANS DRIVE,,MEXICO,AUDRAIN,MO,65265,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,,40,,,,
"Pharmacy  de Centro Ararat ,INC SJ",1507Calle Profesor Agusto Rodriguez,,SAN JUAN,San Juan,PR,00909,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,,20,,,,1962946426
Walgreens Store #12874,2030 BLVD LUIS A FERRE,,PONCE,Ponce,PR,00717,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/22/2022 12:00:00 AM,20,19,01/31/2022 12:00:00 AM,,1871508770
SAFEWAY PHARMACY,9620 28TH AVE SW,,Seattle,KING,WA,98126,0006-5055-06,Molnupiravir,01/13/2022 12:00:00 AM,01/17/2022 12:00:00 AM,40,20,01/31/2022 12:00:00 AM,POINT (-122.368628 47.517164),1235168261
Rite Aid 07861,3145 MAIN STREET,,MORGANTOWN,BERKS,PA,19543-0000,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,,120,60,01/31/2022 12:00:00 AM,POINT (-75.890344 40.15519),
Meijer Store 180,15000 US 31,Deliver to Pharmacy,Grand Haven,OTTAWA,MI,49417,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,01/10/2022 12:00:00 AM,60,39,01/31/2022 12:00:00 AM,,1083764054
"V07 557 Dublin, GA",1826 VETERANS BOULEVARD,Attention Pharmacy 119,DUBLIN,LAURENS,GA,31021,0069-1085-30,Paxlovid,01/12/2022 12:00:00 AM,01/13/2022 12:00:00 AM,20,,,POINT (-82.943123 32.539316),
HENDERSON HOSPITAL,1050 WEST GALLERIA DR,,HENDERSON,CLARK,NV,89011,0069-1085-30,Paxlovid,01/26/2022 12:00:00 AM,01/28/2022 12:00:00 AM,40,28,01/28/2022 12:00:00 AM,,
Soleil Pharmacy,801 LANDMARK DR,,GLEN BURNIE,ANNE ARUNDEL,MD,21061,0310-7442-02,Evusheld,01/26/2022 12:00:00 AM,,48,40,01/30/2022 12:00:00 AM,POINT (-76.64112 39.147833),1205336328
Walgreens Store #18362,503 STEVE DR,,RUSSELL SPRINGS,RUSSELL,KY,42642,0006-5055-06,Molnupiravir,01/12/2022 12:00:00 AM,01/18/2022 12:00:00 AM,120,0,01/31/2022 12:00:00 AM,,1467975599
Walgreens Store #00251,4203 CALLE MARGINAL,,FAJARDO,Fajardo,PR,00738,0069-1085-30,Paxlovid,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,40,13,01/31/2022 12:00:00 AM,,1972518876
ROSEBUD HOSPITAL,400 Solder Creek dr,,ROSEBUD,TODD,SD,57570,0006-5055-06,Molnupiravir,01/27/2022 12:00:00 AM,,80,,,,
CVS Store #03078,2151 MEEKER AVE,CVS Pharmacy,RICHMOND,CONTRA COSTA,CA,94804,0069-1085-30,Paxlovid,01/28/2022 12:00:00 AM,01/19/2022 12:00:00 AM,80,20,01/31/2022 12:00:00 AM,,1669414470
NUCARA PHARMACY #9,1002 6TH ST,,NEVADA,STORY,IA,50201,0006-5055-06,Molnupiravir,01/14/2022 12:00:00 AM,01/19/2022 12:00:00 AM,40,39,01/31/2022 12:00:00 AM,,1104837616
