Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
Chinle Comprehensive Healthcare,Hwy 191 and Hospital Road,,CHINLE,APACHE,AZ,86503,0069-1085-30,Paxlovid,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,40,37,02/04/2022 12:00:00 AM,,
Wegmans Food Markets Inc.,1315 Cold Spring Road,Wegmans,Scranton,LACKAWANNA,PA,18508,0006-5055-06,Molnupiravir [Qty 24],01/31/2022 12:00:00 AM,,0,40,02/11/2022 12:00:00 AM,,
UINTAH OURAY INDIAN HEALTH,6822 E 1000 S,,FORT DUCHESNE,UINTAH,UT,84026,0069-1085-30,Paxlovid,,,0,20,02/02/2022 12:00:00 AM,,
UCHealth Central Pharmacy,13050 E. Smith Road Suite 103,,Aurora,ADAMS,CO,80011,0310-7442-02,Evusheld,,,0,678,02/09/2022 12:00:00 AM,,
Multnomah County HDC Health Center,5329 NE MLK Jr Blvd,,Portland,MULTNOMAH,OR,97211,0069-1085-30,Paxlovid,12/28/2021 12:00:00 AM,01/06/2022 12:00:00 AM,20,20,01/12/2022 12:00:00 AM,,
River Hospital,4 Fuller Street,,Alexandria Bay,JEFFERSON,NY,13607,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,02/01/2022 12:00:00 AM,72,71,02/02/2022 12:00:00 AM,POINT (-75.920121 44.337172),
Wind River Pharmacy,280 SW 2nd St,,Stevenson,SKAMANIA,WA,98648,0069-1085-30,Paxlovid,01/25/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,40,02/10/2022 12:00:00 AM,POINT (-121.884925 45.693031),
Walgreens Store #10825,1730 CARR 506,,COTO LAUREL,Ponce,PR,00780,0069-1085-30,Paxlovid,01/21/2022 12:00:00 AM,01/26/2022 12:00:00 AM,40,12,02/11/2022 12:00:00 AM,,1912231960
PLAZA APOTHECARY PLLC,600 N PEARL ST,H201,DALLAS,DALLAS,TX,75201,0069-1085-30,Paxlovid,02/09/2022 12:00:00 AM,01/13/2022 12:00:00 AM,40,10,02/07/2022 12:00:00 AM,POINT (-96.79513 32.786073),
Altru Health System Pharmacy,1200 S Columbia Rd,,Grand Forks,GRAND FORKS,ND,58201,0310-7442-02,Evusheld,,,0,7,02/11/2022 12:00:00 AM,,
St Luke s Hospital Carbon Campus,500 St Lukes Drive,,Lehighton,CARBON,PA,18235,0310-7442-02,Evusheld,02/09/2022 12:00:00 AM,02/03/2022 12:00:00 AM,72,24,02/03/2022 12:00:00 AM,,
ST DOMINIC JACKSON MEMORIAL HOSP,969 LAKELAND DRIVE,,JACKSON,HINDS,MS,39216,0069-1085-30,Paxlovid,01/21/2022 12:00:00 AM,,0,66,02/10/2022 12:00:00 AM,POINT (-90.165103 32.333691),
Baptist Oxford Outpatient Pharmacy,1100 Belk Blvd,,Oxford,LAFAYETTE,MS,38655,0006-5055-06,Molnupiravir [Qty 24],02/08/2022 12:00:00 AM,,0,42,02/11/2022 12:00:00 AM,POINT (-89.520762 34.346643),
ISLAND DRUG,32170 SR 20,,Oak Harbor,ISLAND,WA,98277,0006-5055-06,Molnupiravir [Qty 24],01/11/2022 12:00:00 AM,,0,20,02/08/2022 12:00:00 AM,,1952302382
Omnicare of Reno #48308,9475 Double R Blvd. #8,,Reno,WASHOE,NV,89521,0069-1085-30,Paxlovid,,,0,40,02/11/2022 12:00:00 AM,POINT (-119.760592 39.446131),1396847133
CLAYTON DRUG,135 N MAIN ST,,ELKADER,CLAYTON,IA,52043,0006-5055-06,Molnupiravir [Qty 24],01/14/2022 12:00:00 AM,,0,20,02/10/2022 12:00:00 AM,POINT (-91.40504 42.855124),1417457656
MONUMENT VALLEY HEALTH CLINIC,30 W MEDICAL DR,,MONUMENT VALLEY,SAN JUAN,UT,84536,0069-1085-30,Paxlovid,,,0,6,02/04/2022 12:00:00 AM,,
CHS PHARMACY,202 N. Main Street,,Cimarron,GRAY,KS,67835,0069-1085-30,Paxlovid,02/08/2022 12:00:00 AM,,0,400,01/31/2022 12:00:00 AM,POINT (-100.348169 37.808046),
MOSAIC MEDICAL CENTER ALBANY,705 N COLLEGE,,ALBANY,GENTRY,MO,64402,0310-7442-02,Evusheld,02/09/2022 12:00:00 AM,01/21/2022 12:00:00 AM,48,48,02/03/2022 12:00:00 AM,POINT (-94.325465 40.252423),
SWEDISH - BALLARD,5300 TALLMAN AVE NW,,SEATTLE,KING,WA,98107,0310-7442-02,Evusheld,02/08/2022 12:00:00 AM,02/10/2022 12:00:00 AM,432,144,02/11/2022 12:00:00 AM,POINT (-122.379975 47.667175),
Good Samaritan Hospital,520 S. Seventh St.,,VINCENNES,KNOX,IN,47591,0310-7442-02,Evusheld,01/26/2022 12:00:00 AM,01/27/2022 12:00:00 AM,48,44,02/11/2022 12:00:00 AM,POINT (-87.534213 38.67292),
UHSSA ROBERT B GREEN PHARMACY,903 W MARTIN ST,,SAN ANTONIO,BEXAR,TX,78207,0069-1085-30,Paxlovid,02/09/2022 12:00:00 AM,01/27/2022 12:00:00 AM,40,34,02/10/2022 12:00:00 AM,POINT (-98.501576 29.429952),
WEST SIDE PHARMACY,620 W SOUTH ST,,BENTON,SALINE,AR,72015,0310-7442-02,Evusheld,01/27/2022 12:00:00 AM,,0,23,02/10/2022 12:00:00 AM,POINT (-92.593674 34.563662),1013922541
