Provider Name,Address1,Address2,City,County,State Code,Zip,National Drug Code,Order Label,Last Order Date,Last Date Delivered,Total Courses,Courses Available,Courses Available Date,Geocoded Address,NPI
AMITA SAINTS MARY AND ELIZABETH MED,Pharmacy,2233 W division Street,Chicago,COOK,IL,60622,0006-5055-06,Molnupiravir,12/31/2021 12:00:00 AM,,80,,,,1134280647
CIMPAR OAK PARK,101 MADISON ST STE 300,,OAK PARK,COOK,IL,60302-4210,0006-5055-06,Molnupiravir,01/04/2022 12:00:00 AM,,100,,,POINT (-87.777478 41.87999),
14th MDSS,201 INDEPENDENCE STE 235,,Columbus,LOWNDES,MS,39710-5300,0006-5055-06,Molnupiravir,01/06/2022 12:00:00 AM,,20,,,,
Reid Health,Reid Health,1100 Reid Parkway,Richmond,WAYNE,IN,47374,0310-7442-02,Evusheld,01/04/2022 12:00:00 AM,12/30/2021 12:00:00 AM,48,48,01/10/2022 12:00:00 AM,,
ADENA REGIONAL MEDICAL CENTER,272 Hospital Road,,Chillicothe,ROSS,OH,45601,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,01/08/2022 12:00:00 AM,100,,,,
DJs Pharmacy LLC,4222 NW Cary Pkwy,,Cary,WAKE,NC,27513,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,140,,,POINT (-78.826692 35.790469),
HENRY CO HOSP,ATTN PHARMACY - AUSTIN DUNLAP,1600 EAST RIVERVIEW AVE,NAPOLEON,HENRY,OH,43545,0006-5055-06,Molnupiravir,12/29/2021 12:00:00 AM,,20,,,,
633 MDSS/SGSM,73 Nealy Ave,Bldg 256,Langley AFB,HAMPTON CITY,VA,23665,0006-5055-06,Molnupiravir,01/06/2022 12:00:00 AM,,100,,,POINT (-76.360551 37.070192),
CDPHE STATE LAB,8100 E Lowry Blvd,,Denver,DENVER,CO,80230,0310-7442-02,Evusheld,12/31/2021 12:00:00 AM,,360,,,POINT (-104.894587 39.717574),
COLUMBIA ST. MARYS - OZAUKEE CAMPUS,13111 N PORT WASHINGTON RD,,MEQUON,OZAUKEE,WI,53097,0310-7442-02,Evusheld,01/03/2022 12:00:00 AM,,48,,,POINT (-87.92415 43.25618),
Sams Pharmacy #8107,2235 National Blvd SW,,Huntsville,MADISON,AL,35803,0006-5055-06,Molnupiravir,12/30/2021 12:00:00 AM,,20,,,POINT (-86.571729 34.643619),1609893916
TIFT REGIONAL MEDICAL CENTER,901 E 18TH ST,,TIFTON,TIFT,GA,31794,0310-7442-02,Evusheld,01/05/2022 12:00:00 AM,,48,,,POINT (-83.491068 31.470401),
CASS FAMILY CLINIC,261 M 62,,Cassopolis,CASS,MI,49031,0069-1085-30,Paxlovid,12/27/2021 12:00:00 AM,12/29/2021 12:00:00 AM,20,10,01/10/2022 12:00:00 AM,POINT (-86.01534 41.920298),
