healthDept_site,state_site,state,state_code,healthDept_twitter,healthDept_email,healthDept_phone,healthDept_search,covid_site,mabInfoLink,mabInfoUrl,pop_estimate
alabamapublichealth.gov,alabama.gov,Alabama,AL,ALPublicHealth,,,www.alabamapublichealth.gov/search/index.html?query=KEYWORD,,Prevention and Treatment,www.alabamapublichealth.gov/covid19/prevention.html,5039877
dhss.alaska.gov,alaska.gov,Alaska,AK,Alaska_DHSS,,,dhss.alaska.gov/pages/search.aspx?q=KEYWORD,,Outpatient Treatment,dhss.alaska.gov/dph/epi/id/pages/covid-19/outpatienttreatment.aspx,732673
americansamoa.gov/departments,,American Samoa,AS,,,,,,,,
azdhs.gov,az.gov,Arizona,AZ,azdhs,,,azdhs.gov/search/index.php?q=KEYWORD,,,,7276316
healthy.arkansas.gov,arkansas.gov,Arkansas,AR,adhpio,,,,,Therapeutic Locations,www.healthy.arkansas.gov/programs-services/topics/covid-19-guidance-on-therapeutics,3025891
cdph.ca.gov,ca.gov,California,CA,CAPublicHealth,,,www.cdph.ca.gov/Pages/results.aspx?k=#k=KEYWORD,www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/ncov2019.aspx,,,39237836
cdphe.colorado.gov,colorado.gov,Colorado,CO,CDPHE,,,covid19.colorado.gov/search?search=KEYWORD,covid19.colorado.gov/,Getting Treatment,covid19.colorado.gov/getting-covid-19-treatment,5812069
ct.gov/dph,ct.gov,Connecticut,CT,ctdph,,,portal.ct.gov/DPH/Search-Results?SearchKeyword=KEYWORD,,Therapeutics,portal.ct.gov/DPH/Public-Health-Preparedness/DPH-COVID-19-Specific-Resources/COVID-19-Therapeutics,3605597
dhss.delaware.gov,delaware.gov,Delaware,DE,Delaware_DHSS,,,dhss.delaware.gov/dhss/search.html?query=KEYWORD,,,,1003384
doh.dc.gov,dc.gov,District of Columbia,DC,_DCHealth,doh@dc.gov,202-442-5955,,coronavirus.dc.gov/,,,670050
floridahealth.gov,myflorida.com,Florida,FL,HealthyFla,,850-245-4444,www.floridahealth.gov/search/search.cgi?zoom_query=KEYWORD&zoom_cat%5B%5D=0,,Treatment Locator,floridahealthcovid19.gov/treatments/treatmentlocator/?utm_source=floridahealth.gov&utm_medium=referral&utm_campaign=covid-19&utm_term=monoclonal+antibody+therapy+treatments+available+florida+2021&utm_content=trending_topics,21781128
dph.georgia.gov,georgia.gov,Georgia,GA,GaDPH,,404-657-2700,dph.georgia.gov/search?search=KEYWORD&sm_site_name=dph,,Available Treatments,dph.georgia.gov/dph-covid-19-guidance,10799566
dphss.guam.gov,guam.gov,Guam,GU,GuamDPHSS,,,,dphss.guam.gov/covid-19,,,
health.hawaii.gov,hawaii.gov,Hawaii,HI,HawaiiDOH,,,,hawaiicovid19.com,,,1441553
healthandwelfare.idaho.gov,idaho.gov,Idaho,ID,IDHW,,,healthandwelfare.idaho.gov/search?k=KEYWORD,,,,1900923
