Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
WALGREENS STORE #11795,3551 CASSOPOLIS ST,,ELKHART,IN,46514,07/21/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-85.97459 41.73845)
WALGREENS STORE #04858,6205 WESTCREEK DR,,FORT WORTH,TX,76133,07/21/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-97.36131 32.654665)
NHC Annapolis MD,695 Kinkaid Rd,,Annapolis,MD,21402,,,,POINT (-76.46898 38.988383)
CVS Store #00240,6 JFK STREET,CVS Pharmacy,CAMBRIDGE,MA,02138,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.119345 42.373265)
COASTAL BEND WELLNESS FOUNDATION,2882 Holly Road,,Corpus Christ,TX,78415,07/18/2022 12:00:00 AM,,361-814-2001,POINT (-97.42445 27.72267)
ARCARE 10,400 Hwy 64 E,,Augusta,AR,72006,07/18/2022 12:00:00 AM,http://www.arcare.net,870-347-2508,POINT (-91.36293 35.29277)
CarbonHealth - CA Irving St,2131 Irving Street,,San Francisco,CA,94122,07/21/2022 12:00:00 AM,,,POINT (-122.48092 37.76315)
"Dumfries Health Center, PVI",3700 Fettler Park Drive,,Dumfries,VA,22025,,,,POINT (-77.326732 38.57938)
ST. CLAIR CO HD TEEN HC,2215 COURT ST,,PORT HURON,MI,48060,07/19/2022 12:00:00 AM,,,POINT (-82.45097 42.97183)
KROGER PHARMACY 02400705,890 RICHMOND PLZ,,RICHMOND,KY,40475,07/21/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-84.27457 37.7317)
CVS STORE #07567,1888 BOILING SPRINGS ROAD,CVS Pharmacy,BOILING SPRINGS,SC,29316,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.96019 35.01657)
WALGREENS STORE #06498,2950 GEORGE DIETER DR,,EL PASO,TX,79936,07/21/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-2950+george+dieter+dr-el%20paso-tx-79936/id=6498,,POINT (-106.30219 31.78126)
CENTRACARE CLINIC - PAYNESVILLE,200 1ST ST W,,PAYNESVILLE,MN,56362,07/22/2022 12:00:00 AM,,,POINT (-94.71587 45.37392)
CVS Store #02867,1937 MACDADE BLVD,CVS Pharmacy,FOLSOM,PA,19033,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-75.3176 39.89743)
CVS Store #06185,1100 HILL RD. N,CVS Pharmacy,PICKERINGTON,OH,43147,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.778158 39.91055)
CVS Store #01116,"7777 BLUEBONNET BLVD., SUITE 100",CVS Pharmacy,BATON ROUGE,LA,70810,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-91.097003 30.37943)
CVS Store #06007,6206 COMMERCE PALMS DR.,CVS Pharmacy,TAMPA,FL,33647,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.379 28.11595)
CVS Store #07435,23865 FM 1314 RD.,CVS Pharmacy,PORTER,TX,77365,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-95.25042 30.10526)
NH GoHealth Matthews,9600 E Independence Blvd,Suite B,Matthews,NC,28105,07/13/2022 12:00:00 AM,,,POINT (-80.71515 35.1357)
CVS Store #07891,8954 LANTANA RD,CVS Pharmacy,LAKE WORTH,FL,33467,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.188585 26.5901)
OSCEOLA - STADIUM PLACE,1503 Bill Beck Blvd,,Kissimmee,FL,34744,07/15/2022 12:00:00 AM,http://www.osceolahealthcare.org,407-943-8600,POINT (-81.365142 28.305145)
CVS Store #03701,1410 CRABB RIVER RD.,CVS Pharmacy,RICHMOND,TX,77469,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-95.69435 29.55419)
CVS Store #17012,4191 THE CIRCLE AT NORTH HILLS ST,CVS Pharmacy,RALEIGH,NC,27609,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-78.64232 35.83636)
MD NOW - WEST PALM BEACH,2007 PALM BEACH LAKES BLVD,,WEST PALM BEACH,FL,33409,07/21/2022 12:00:00 AM,,,POINT (-80.09311 26.71611)
CVS Store #03302,7230 MARKET ST.,CVS Pharmacy,BOARDMAN,OH,44512,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.66363 41.0252)
KROGER PHARMACY 02400762,305 E LEWIS AND CLARK PKWY,,CLARKSVILLE,IN,47129,07/21/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-85.77072 38.31042)
Optum Serve - Watsonville,215 East Beach  Veterans Building,ATTN: EOA/COVID Testing,Watsonville,CA,95076,07/22/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-121.75425 36.91261)
CVS Store #01093,7001 NORTH HIGHWAY 309,CVS Pharmacy,COOPERSBURG,PA,18036,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-75.38571 40.50662)
CVS Store #03236,726 CRANDON BOULEVARD,CVS Pharmacy,KEY BISCAYNE,FL,33149,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.16358 25.6873)
CVS STORE #05688,1099 W. ARMY TRAIL RD.,CVS Pharmacy,BARTLETT,IL,60103,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-88.20751 41.94598)
CVS Store #03782,6802 LEE HWY.,CVS Pharmacy,CHATTANOOGA,TN,37421,07/22/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-85.168505 35.04059)
WALGREENS STORE #13827,1 E OGDEN AVE,,WESTMONT,IL,60559,07/21/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-1+e+ogden+ave-westmont-il-60559/id=13827,,POINT (-87.975891 41.810111)
GRACE HEALTH,181 W. Emmett St,,Battle Creek,MI,49037,07/19/2022 12:00:00 AM,http://www.gracehealthmi.org,269-966-2600,POINT (-85.189035 42.329575)
