Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
WALGREENS STORE #11795,3551 CASSOPOLIS ST,,ELKHART,IN,46514,05/19/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-85.97459 41.73845)
CVS Store #05714,4840 DODGE ST.,CVS Pharmacy,OMAHA,NE,68132,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-95.987252 41.259985)
CVS Store #17380,7000 YORK AVE S,CVS Pharmacy,EDINA,MN,55435,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-93.32336 44.87532)
ELMWOOD PHRAMACY,808 S 52ND ST,,OMAHA,NE,68106,05/20/2022 12:00:00 AM,,,POINT (-95.9957 41.25178)
FAMILY HEALTH CENTERS OMAK,1003 Koala Ave,,Omak,WA,98841,05/17/2022 12:00:00 AM,,509-422-5700,POINT (-119.50389 48.42414)
LOUIS APPEL MD PCC CAMINO,1101 Camino La Costa,,Austin,TX,78752,05/17/2022 12:00:00 AM,,512-478-4939,POINT (-97.699479 30.324045)
NL EASTERN MAINE MEDICAL CENTER,489 State st,,Bangor,ME,04401,05/16/2022 12:00:00 AM,,,POINT (-68.75085 44.80856)
ISABELLA CITIZENS FOR HEALTH,2790 HEALTH PKWY,,MOUNT PLEASANT,MI,48858,05/19/2022 12:00:00 AM,,,POINT (-84.75395 43.60018)
KROGER PHARMACY 02400387,"291 N. HUBBARDS LN, SUITE 130",,LOUISVILLE,KY,40207,05/20/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-85.637777 38.258065)
CVS Store #07592,31 W. MAIN ST.,CVS Pharmacy,RADFORD,VA,24141,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.569135 37.137935)
WALGREENS STORE #06498,2950 GEORGE DIETER DR,,EL PASO,TX,79936,05/19/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-2950+george+dieter+dr-el%20paso-tx-79936/id=6498,,POINT (-106.30219 31.78126)
KIRKS PHARMACY,104 Mashell Ave. N,,Eatonville,WA,98328,05/06/2022 12:00:00 AM,,,POINT (-122.266721 46.867529)
CVS Store #03665,1299 EAST OGDEN AVE.,CVS Pharmacy,NAPERVILLE,IL,60563,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-88.12279 41.79619)
CVS Store #06183,2987 DERR RD.,CVS Pharmacy,SPRINGFIELD,OH,45503,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-83.78645 39.96571)
CVS Store #02079,508 HIGH ST.,CVS Pharmacy,MOUNT HOLLY,NJ,08060,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-74.79426 40.00436)
CVS Store #05980,949 LIVINGSTON AVE.,CVS Pharmacy,NORTH BRUNSWICK,NJ,08902,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-74.47035 40.47048)
CVS Store #07435,23865 FM 1314 RD.,CVS Pharmacy,PORTER,TX,77365,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-95.25042 30.10526)
Optum Serve - Lancaster,44818 Fern Avenue,Suite #105 COVID Traveling Team,Lancaster,CA,93534,,,,POINT (-118.14393 34.69639)
CVS Store #08922,1850 N. HIGHWAY 190,CVS Pharmacy,COVINGTON,LA,70433,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-90.081285 30.45822)
CVS Store #03708,3701 IRA E. WOODS AVE.,CVS Pharmacy,GRAPEVINE,TX,76051,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-97.12661 32.914035)
CVS Store #17002,7601 KINGERY HWY,CVS Pharmacy,WILLOWBROOK,IL,60527,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.94318 41.74993)
REDINGTON FAIRVIEW GENERAL PHARMACY,46 FAIRVIEW AVE,PHARMACY DEPT,SKOWHEGAN,ME,04976,05/19/2022 12:00:00 AM,,,POINT (-69.71368 44.75899)
CVS Store #03319,9915 PARK CEDAR DR,CVS Pharmacy,CHARLOTTE,NC,28210,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.865645 35.094585)
KROGER PHARMACY 02400707,9440 BROWNSBORO RD,STE 1A,LOUISVILLE,KY,40241,05/20/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-85.575445 38.305335)
CVS Store #00281,80 MARKET STREET,CVS Pharmacy,ROCKLAND,MA,02370,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-70.91716 42.12098)
CVS Store #03236,726 CRANDON BOULEVARD,CVS Pharmacy,KEY BISCAYNE,FL,33149,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.16358 25.6873)
CVS Store #05688,1099 W. ARMY TRAIL RD.,CVS Pharmacy,BARTLETT,IL,60103,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-88.20751 41.94598)
CVS Store #03803,559 RIVER HWY,CVS Pharmacy,MOORESVILLE,NC,28117,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.869575 35.59454)
WALGREENS STORE #13827,1 E OGDEN AVE,,WESTMONT,IL,60559,05/19/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-1+e+ogden+ave-westmont-il-60559/id=13827,,POINT (-87.975891 41.810111)
NEIGHBORCARE HLTH AT RAINIER BEACH,9245 Rainier Ave S,,Seattle,WA,98118,02/18/2022 12:00:00 AM,http://www.neighborcare.org,206-721-2326,POINT (-122.269225 47.519635)
CVS Store #01905,134 WEST BROAD STREET,CVS Pharmacy,FALLS CHURCH,VA,22046,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.171925 38.883175)
CVS Store #01449,7955 TUCKERMAN LANE,CVS Pharmacy,ROCKVILLE,MD,20854,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.15754 39.04118)
GoHealth Urgent Care - Fraser,15717 15 Mile Rd,,Clinton Twp,MI,48035,05/17/2022 12:00:00 AM,,,POINT (-82.964535 42.554015)
Docs Medical East Haven,317 Foxon Rd,,East Haven,CT,06477,05/20/2022 12:00:00 AM,,,POINT (-72.83638 41.32467)
CVS Store #09290,4430 EAST RAY ROAD,CVS Pharmacy,PHOENIX,AZ,85044,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-111.987647 33.320735)
Optum Serve - Sylmar,13100 Hubbard Street,"Sandra Chapman/Tyrone Brown,",Sylmar,CA,91342,,,,POINT (-118.41902 34.31733)
WALGREENS STORE #09262,8469 E MCDONALD DR,,SCOTTSDALE,AZ,85250,05/19/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-8469+e+mcdonald+dr-scottsdale-az-85250/id=9262,,POINT (-111.898285 33.52342)
Optum Serve - San Mateo,1700 W Hillside Blvd BLDG 34-120,"CSM Testing Site, Terry ONeil",San Mateo,CA,94402,,,,POINT (-122.31 37.56)
FIRST CHOICE URGENT CARE - GARDEN C,31450 FORD RD,,GARDEN CITY,MI,48135,05/19/2022 12:00:00 AM,,,POINT (-83.351325 42.325415)
BEAUFORT COUNTY HEALTH DEPARTMENT,1436 HIGHLAND DR,,WASHINGTON,NC,27889-3222,05/20/2022 12:00:00 AM,,,POINT (-77.03177 35.55388)
CVS Store #03190,9101 HWY 6 NORTH,CVS Pharmacy,HOUSTON,TX,77095,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-95.62933 29.9099)
THE CHILDRENS CLINIC FHC SMTF,455 e. Columbia st suite 201,,long beach,CA,90806,05/17/2022 12:00:00 AM,,,POINT (-118.18737 33.80937)
CVS Store #05565,"1075 E. HUDSON BLVD.,",CVS Pharmacy,GASTONIA,NC,28054,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.17024 35.23217)
Lanai Community Health Center,333 Sixth Street,,Lanai City,HI,96763,05/21/2022 12:00:00 AM,,,POINT (-156.92107 20.82633)
BAGGETT PHARMACY INC,133 E RACE STREET,,KINGSTON,TN,37763,05/18/2022 12:00:00 AM,,,POINT (-84.51647 35.87076)
WELL CARE COMM HLTH INC,203 E Main St,,Richmond,IN,47374,,http://wellcarecommunityhealth.org,765-973-9294,POINT (-84.898505 39.828695)
Expresscare Of Bel Air,1505 E Churchville Road,,Bel Air,MD,21014,05/20/2022 12:00:00 AM,,,POINT (-76.30535 39.53403)
NH Oak Harbor WA,3475 N. Saratoga St.,,Oak Harbor,WA,98278-8800,,,,POINT (-122.6694 48.33571)
CVS Store #06477,3002 HIGHWAY K,CVS Pharmacy,O FALLON,MO,63368,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-90.71491 38.72863)
CVS Store #01770,325 MAMARONECK AVE.,CVS Pharmacy,WHITE PLAINS,NY,10605,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.76311 41.02516)
CVS Store #08918,4340 SAN MATEO BLVD NE,CVS Pharmacy,ALBUQUERQUE,NM,87110,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-106.58571 35.1305)
CVS Store #17050,1201 BEAVER CREEK COMMONS DR,CVS Pharmacy,APEX,NC,27502,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-78.877785 35.744885)
Optum Serve - Grass Valley,231 Colfax Ave,Attn:Kim Blix,Grass Valley,CA,95945,,,,POINT (-121.05814 39.21572)
CVS Store #01055,2090 S HIGHWAY 29,CVS Pharmacy,CANTONMENT,FL,32533,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.290226 30.570625)
CVS Store #09613,23357 MULHOLLAND DRIVE,CVS Pharmacy,WOODLAND HILLS,CA,91364,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-118.63423 34.15806)
CVS Store #08287,21777 21 MILE RD.,CVS Pharmacy,MACOMB,MI,48044,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.90006 42.64417)
CVS Store #08763,1650 FARWELL,CVS Pharmacy,MILWAUKEE,WI,53202,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.89295 43.05212)
KROGER PHARMACY 02400717,3040 DOLPHIN DR,,ELIZABETHTOWN,KY,42701,05/20/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-85.83615 37.71195)
CVS Store #01121,174 LITTLETON RD,WESTFORD MARKETPLACE,WESTFORD,MA,01886,05/20/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.421945 42.5665)
WALGREENS STORE #05399,955 S WINTER PARK DR,,CASSELBERRY,FL,32707,05/19/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-81.323008 28.648105)
