Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
WALGREENS STORE #11795,3551 CASSOPOLIS ST,,ELKHART,IN,46514,06/10/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-85.97459 41.73845)
WALGREENS STORE #04858,6205 WESTCREEK DR,,FORT WORTH,TX,76133,06/10/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,POINT (-97.36131 32.654665)
Martin Army Community Hosptial,6634 Bass Road,Bldg 9222,Fort Benning,GA,31905,,,,POINT (-84.83859 32.34243)
CVS Store #06472,410 S MAIN ST.,CVS Pharmacy,GOSHEN,IN,46526,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-85.83392 41.58182)
CVS Store #05512,7208 FM 78,CVS Pharmacy,SAN ANTONIO,TX,78244,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-98.346485 29.485175)
CVS Store #07345,901 DOW RD.,CVS Pharmacy,CAROLINA BEACH,NC,28428,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.90008 34.04674)
EASTPORT HLTH CARE INC,30 Boynton St,,Eastport,ME,04631,,http://www.eastporthealth.org,207-853-6001,POINT (-66.988525 44.905347)
MEEKER MEMORIAL,612 South Sibley Ave,Attn:  Pharmacy,Litchfield,MN,55355,06/10/2022 12:00:00 AM,,,POINT (-94.52918 45.11952)
MARCH MEDICAL ASSOCIATES,2252 N MONROE ST,,MONROE,MI,48162,,,,POINT (-83.3827 41.94623)
Monarch Pharmacy Glendora,707 W Route 66,Ste 103,Glendora,CA,91740,,,,POINT (-117.87668 34.1291)
Beaumont Urgent Care by WellStreet,15606 Southfield Rd,,Allen Park,MI,48101,,,,POINT (-83.20779 42.25997)
KROGER PHARMACY 02400397,300 BRIGHTON PARK BLVD,,FRANKFORT,KY,40601,06/10/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-84.82569 38.198264)
CVS Store #09715,2791 AGOURA RD.,CVS Pharmacy,THOUSAND OAKS,CA,91361,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-118.825035 34.15134)
WALGREENS STORE #06498,2950 GEORGE DIETER DR,,EL PASO,TX,79936,06/10/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-2950+george+dieter+dr-el%20paso-tx-79936/id=6498,,POINT (-106.30219 31.78126)
COOS COUNTY FAM HLTH SVCS - GORHAM,2 BROADWAY Ave,,GORHAM,NH,03581,06/06/2022 12:00:00 AM,,,POINT (-71.19007 44.3943)
CVS Store #02860,110 W. NORTH AVE.,CVS Pharmacy,ELMHURST,IL,60126,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.94069 41.90585)
CVS Store #05655,1901 WEST KANSAS ST.,CVS Pharmacy,LIBERTY,MO,64068,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-94.449535 39.2439)
CVS Store #01138,11591 OLIO RD.,CVS Pharmacy,FISHERS,IN,46037,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-85.91776 39.957255)
CVS Store #05463,9805 ROCKY RIVER RD.,CVS Pharmacy,CHARLOTTE,NC,28215,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.671 35.28418)
CVS Store #05216,2702 S ORANGE AVE,CVS Pharmacy,ORLANDO,FL,32806,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.37684 28.51252)
Optum Serve - Paramount,14400 Paramount Boulevard,Los Angeles Bus/ COVID Testing,Paramount,CA,90723,06/10/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-118.15997 33.90228)
CVS Store #10190,770 E. DUPONT RD.,CVS Pharmacy,FORT WAYNE,IN,46825,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-85.13187 41.17772)
YAKIMA NBH HLTH SVCS - 8TH ST CLIN,12 SOUTH 8TH STREET,,YAKIMA,WA,98901,06/03/2022 12:00:00 AM,http://www.ynhs.org,509-454-4143,POINT (-120.495535 46.603755)
CVS Store #02928,1825 E. WARM SPRINGS RD.,CVS Pharmacy,LAS VEGAS,NV,89119,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-115.127055 36.05703)
CVS Store #17346,45130 COLUMBIA PL,CVS Pharmacy,STERLING,VA,20166,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.43888 39.00884)
MD NOW - SOUTH MARGATE,2980 US 441,,MARGATE,FL,33063,06/12/2022 12:00:00 AM,,,POINT (-80.20113 26.265925)
CVS Store #03293,100 GLEN OAKS BOULEVARD,CVS Pharmacy,HENDERSONVILLE,TN,37075,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-86.61784 36.3248)
KROGER PHARMACY 02400733,200 SKYWATCH DR,,DANVILLE,KY,40422,06/10/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-84.7828 37.61797)
Wellstreet UC - Rochester,3200 Walton Boulevard,,Rochester Hills,MI,48309,,,,POINT (-83.19879 42.68065)
CVS Store #01104,1540 E. MAIN ST.,CVS Pharmacy,ALLEN,TX,75002,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-96.62942 33.099765)
CVS Store #02561,4100 CARMEL ROAD,CVS Pharmacy,CHARLOTTE,NC,28226,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.82452 35.11712)
CVS Store #01845,222 MAIN ST.,CVS Pharmacy,WILMINGTON,MA,01887,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.18075 42.5566)
CVS Store #02997,15129 MADEIRA WAY,CVS Pharmacy,MADEIRA BEACH,FL,33708,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.80194 27.80245)
WALGREENS STORE #13827,1 E OGDEN AVE,,WESTMONT,IL,60559,06/10/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-1+e+ogden+ave-westmont-il-60559/id=13827,,POINT (-87.975891 41.810111)
MARION E FETHER MEDICAL CENTER,1454 Madison Ave W,,Immokalee,FL,34142,06/09/2022 12:00:00 AM,http://www.collier.org,239-658-3000,POINT (-81.43194 26.442715)
CVS Store #00949,2291 MERRICK RD.,CVS Pharmacy,MERRICK,NY,11566,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.5409 40.66083)
CVS Store #00654,344 GREAT ROAD,CVS Pharmacy,ACTON,MA,01720,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.42048 42.50246)
Roanoke Chowan Comm Health Center,120 Health Center Drive,,Ahoskie,NC,27910,06/10/2022 12:00:00 AM,,,POINT (-76.991815 36.29613)
COMMUNITY HEALTH CENTER OF CENTRAL,5000 Blackmore Road,,Casper,WY,82609,06/09/2022 12:00:00 AM,,,POINT (-106.25786 42.84214)
CVS Store #08795,2662 W. HORIZON RIDGE PKWY,CVS Pharmacy,HENDERSON,NV,89052,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-115.104535 36.00017)
ExpressCare of Hampstead,2327 HANOVER PIKE,,Hampstead,MD,21074,06/09/2022 12:00:00 AM,,,POINT (-76.86726 39.63934)
WALGREENS STORE #09262,8469 E MCDONALD DR,,SCOTTSDALE,AZ,85250,06/10/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-8469+e+mcdonald+dr-scottsdale-az-85250/id=9262,,POINT (-111.898285 33.52342)
ExpressCare of Eldersburg,1311 LONDONTOWN BLVD,STE 130,Eldersburg,MD,21784,06/09/2022 12:00:00 AM,,,POINT (-76.949609 39.40799)
CIMPAR OAK PARK,101 MADISON ST STE 300,,OAK PARK,IL,60302,06/07/2022 12:00:00 AM,,,POINT (-87.777 41.87257)
UMMC - BCC Field House,300 W. Preston Street,,BALTIMORE,MD,21201,06/11/2022 12:00:00 AM,,,POINT (-76.62307 39.30223)
CVS Store #02518,2160 N. HIGH ST.,CVS Pharmacy,COLUMBUS,OH,43201,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-83.00888 40.00642)
CVS Store #06648,655 S. US HIGHWAY 31,CVS Pharmacy,GREENWOOD,IN,46142,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-86.11026 39.60786)
CARBON HEALTH - HILLS PLAZA,345 SPEAR ST STE 120,,SAN FRANCISCO,CA,94105,06/09/2022 12:00:00 AM,,,POINT (-122.38976 37.7898)
COLOMBOS PHARMACY,75-51 METROPOLITAN AVE,,MIDDLE VILLAGE,NY,11379,,,,POINT (-73.875705 40.713265)
BUCKSPORT REGIONAL HLTH CTR,110 Broadway,,Bucksport,ME,04416,06/10/2022 12:00:00 AM,http://www.brhc.info,207-469-7371,POINT (-68.78036 44.57621)
PhysicianOne UrgCare/Ridgefield,10 South Street Suite 101,,Ridgefield,CT,06877,06/07/2022 12:00:00 AM,,,POINT (-73.49466 41.2899)
88 MDG/SGSL - Wright Patterson AFB,4881 SUGAR MAPLE DR BLDG 830,Area A,DAYTON,OH,45433,06/01/2022 12:00:00 AM,,,POINT (-84.03629 39.80437)
CVS Store #07019,150 EAST 42ND ST.,CVS Pharmacy,NEW YORK,NY,10017,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.93831 40.6522)
CVS Store #01742,2901 WESLEY CHAPEL STOUTS RD.,CVS Pharmacy,MONROE,NC,28110,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.64494 35.04802)
CVS Store #08876,233 EAST WILLOW STREET,CVS Pharmacy,LONG BEACH,CA,90806,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-118.19103 33.80481)
CVS Store #17022,28201 DIEHL RD,CVS Pharmacy,WARRENVILLE,IL,60555,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-88.1696 41.80077)
Docs Medical Southington,832 Queen Street,,Southington,CT,06489,06/10/2022 12:00:00 AM,,,POINT (-72.902548 41.638106)
CVS Store #00822,40 EAST ST.,CVS Pharmacy,NEW MILFORD,CT,06776,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.407795 41.579385)
CVS Store #08049,4995 HIGHLAND RD.,CVS Pharmacy,WATERFORD,MI,48328,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-83.385565 42.659285)
CVS Store #08602,7501 METCALF,CVS Pharmacy,OVERLAND PARK,KS,66204,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-94.66684 38.99267)
CVS Store #08734,1801 W. GOLF ROAD,CVS Pharmacy,SCHAUMBURG,IL,60194,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-88.12567 42.04674)
KROGER PHARMACY 01600511,4925 JACKMAN RD,,TOLEDO,OH,43613,06/10/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-83.58979 41.70433)
CVS Store #00295,504 S OXFORD VALLEY RD,CVS Pharmacy,FAIRLESS HILLS,PA,19030,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-74.85105 40.16933)
WALGREENS STORE #05076,6800 OGDEN AVE,,BERWYN,IL,60402,06/10/2022 12:00:00 AM,https://www.walgreens.com/locator/walgreens-6800+ogden+ogden+ave-berwyn-il-60402/id=5076,,POINT (-87.79334 41.8266)
Optum Serve - SF Grove,400 Grand Ave,COVID Testing :Christina Fernandez,San Francisco,CA,94080,06/09/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-122.41244 37.65578)
TRUECARE,150 VALPREDA RD,,San Marcos,CA,92069,06/06/2022 12:00:00 AM,http://www.nchs-health.org,760-736-6767,POINT (-117.15709 33.14021)
CVS Store #09721,1401 S. BALDWIN AVE.,CVS Pharmacy,ARCADIA,CA,91007,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-118.0567 34.12358)
LOGAN HEIGHTS FAMILY HEALTH CENTER,1809 National Ave,,San Diego,CA,92113,06/10/2022 12:00:00 AM,http://www.fhcsd.org,619-515-2300,POINT (-117.146695 32.701445)
CVS Store #03648,3634 ROGERO RD,CVS Pharmacy,JACKSONVILLE,FL,32277,06/10/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.58832 30.36581)
VANDERBILT HTH WLK IN CLIN COOL SPR,"1834 McEwen Dr, Ste 110",Attn: Pharmacy Staff,Franklin,TN,37067,06/10/2022 12:00:00 AM,,,POINT (-86.8226 35.93505)
KROGER PHARMACY 01400395,1001 CHERRY ST STE A,,BLANCHESTER,OH,45107,06/10/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-83.96096 39.30101)
MOUNTAIN PARK HC - BASELINE,635 E. Baseline Rd,,Phoenix,AZ,85042,06/08/2022 12:00:00 AM,http://www.mountainparkhealth.org,602-323-3344,POINT (-112.06801 33.37682)
Optum Serve - Grass Valley,231 Colfax Ave,Attn:Kim Blix,Grass Valley,CA,95945,06/10/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-121.05814 39.21572)
PhysicianOne UrgCare/Brookfield,31 Old Route 7,,Brookfield,CT,06804,05/31/2022 12:00:00 AM,,,POINT (-73.40842 41.47679)
Optum Serve - San Mateo,1700 W Hillside Blvd BLDG 34-120,"CSM Testing Site, Terry ONeil",San Mateo,CA,94402,06/10/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-122.31 37.56)
