Provider Name,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Geopoint
CVS Store #07345,901 DOW RD.,CVS Pharmacy,CAROLINA BEACH,NC,28428,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.90008 34.04674)
CVS Store #06304,6116 QUINCE RD,CVS Pharmacy,MEMPHIS,TN,38119,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-89.859345 35.086505)
HARPER PHARMACY,1404 MAPLE ST,,HARPER,KS,67058,06/08/2022 12:00:00 AM,,,POINT (-98.03327 37.28283)
CORNERSTONE FAM KAPLAN FAM PAVILION,147 Lake St,,Newburgh,NY,12550,06/30/2022 12:00:00 AM,http://www.ghvfhc.org,845-563-8000,POINT (-74.02909 41.49554)
KCS HLTH CTR ANAHEIM,W. Lincoln Ave.,,Anaheim,CA,92805,07/09/2022 12:00:00 AM,,714-527-6561,POINT (-117.92653375 33.835985)
Optum Serve - Vernon,4305 South Santa Fe Avenue,"ATTN: Fredrick Agyin,",Vernon,CA,90058,07/08/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-118.23144 34.00494)
CVS Store #08645,4501 LINCOLNWAY EAST,CVS Pharmacy,MISHAWAKA,IN,46544,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-86.11025 41.66239)
CVS Store #00654,344 GREAT ROAD,CVS Pharmacy,ACTON,MA,01720,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.42048 42.50246)
CVS Store #01340,"845 BLADENSBURG RD., N.E.",CVS Pharmacy,WASHINGTON,DC,20002,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-76.98207 38.90126)
Optum Serve - Ventura W Stanley,255 W. Stanley Ave,ATTN: EOA/COVID TESTING,Ventura,CA,93001,07/08/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-119.29674 34.29977)
CVS Store #05512,7208 FM 78,CVS Pharmacy,SAN ANTONIO,TX,78244,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-98.346485 29.485175)
FAM HLTH CTRS INC,3310 Magnolia St,,Orangeburg,SC,29115,06/10/2022 12:00:00 AM,http://www.myfhc.org,803-531-8951,POINT (-80.83853 33.52864)
CVS Store #03637,542325 US HIGHWAY 1,CVS Pharmacy,CALLAHAN,FL,32011,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-81.82981 30.56286)
GATEWAY COMMUNITY Hlth Ctr INC,1515 Pappas St,,Laredo,TX,78041,06/28/2022 12:00:00 AM,http://gatewaychc.com,956-795-8100 x3646,POINT (-99.476514 27.535775)
CVS Store #01632,9628 REA RD.,CVS Pharmacy,CHARLOTTE,NC,28277,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-80.806125 35.037835)
Pro-Health Medical Inc - Midland,111 E Wackerly St,Suite D,Midland,MI,48642,07/03/2022 12:00:00 AM,,,POINT (-84.226307 43.65524)
CVS Store #06596,321A LAFAYETTE RD.,CVS Pharmacy,HAMPTON,NH,03842,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-70.837495 42.93684)
CVHS BUCKINGHAM,25892 N James Madison Hwy,,New Canton,VA,23123,06/30/2022 12:00:00 AM,http://www.cvhsinc.org,434-581-3271,POINT (-78.35995 37.6366)
TGH Urgent Care - Brandon,799 West Lumsden Rd,,Brandon,FL,33511,07/08/2022 12:00:00 AM,,,POINT (-82.29693 27.92272)
CVS STORE #05707,6040 SYKESVILLE RD,CVS Pharmacy,ELDERSBURG,MD,21784,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-76.95078 39.40924)
CVS STORE #08586,7100 W. 151ST STREET,CVS Pharmacy,OVERLAND PARK,KS,66223,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-94.66849 38.85514)
CVS STORE #02775,2601 RIVA RD.,CVS Pharmacy,ANNAPOLIS,MD,21401,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-76.55602 38.975565)
CVS Store #17635,7129 OKELLY CHAPEL ROAD,CVS Pharmacy,CARY,NC,27519,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-78.885605 35.844425)
KROGER PHARMACY 01600128,1155 N 21ST ST,,NEWARK,OH,43055,07/07/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-82.428128 40.079494)
CVS Store #06139,710 N. MAIN ST.,CVS Pharmacy,SPRINGBORO,OH,45066,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-84.23031 39.575565)
CVS Store #07039,2994 KILDAIRE FARM RD,CVS Pharmacy,CARY,NC,27518,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-78.78842 35.7171)
ARH HIGHLANDS ARH MED OFFICE PHARM,5000 KY ROUTE 321,,PRESTONSBURG,KY,41653,07/07/2022 12:00:00 AM,,,POINT (-82.76775 37.72853)
CVS Store #02572,1 HAWLEY LANE,CVS Pharmacy,STRATFORD,CT,06614,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-73.15331 41.23066)
CVS STORE #03396,902 GARRISONVILLE RD.,CVS Pharmacy,STAFFORD,VA,22556,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-77.46008 38.469565)
Hugoton Drug,531 S Main St,,Hugoton,KS,67951,,,,POINT (-101.34859 37.17735)
VANDERBILT HTH WLK IN CLIN MT JLIET,"64 Belinda Pkwy, Ste 200A",Attn: Pharmacy Staff,Mt Juliet,TN,37122,07/06/2022 12:00:00 AM,,,POINT (-86.506675 36.17118)
Wellstreet UC - Woodhaven,18930 West Rd.,,Woodhaven,MI,48183,07/08/2022 12:00:00 AM,,,POINT (-83.222755 42.141245)
CVS Store #01121,174 LITTLETON RD,WESTFORD MARKETPLACE,WESTFORD,MA,01886,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-71.421945 42.5665)
CVS Store #02175,2738 N. DECATUR RD.,CVS Pharmacy,DECATUR,GA,30033,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-84.28139 33.7932)
SYNERGY WELLNESS,4820 UNIVERSITY DRIVE,SUITE 35,HUNTSVILLE,AL,35816,07/07/2022 12:00:00 AM,,,POINT (-86.653494 34.738244)
NH GoHealth Hanes Square,105 Hanes Square Circle,,Winston Salem,NC,27103,07/05/2022 12:00:00 AM,,,POINT (-80.87237 35.443865)
CarbonHealth - Novato,132  Vintage Way,#F5,Novato,CA,94945,07/08/2022 12:00:00 AM,,,POINT (-122.556332 38.091863)
CVS STORE #17128,7300 191ST ST,CVS Pharmacy,TINLEY PARK,IL,60487,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.79543 41.54568)
Sterling Health Center,725 E State St,,Sterling,MI,48659,07/08/2022 12:00:00 AM,,,POINT (-84.0115 44.03326)
CL BRUMBACK PRMRY CARE W PALM BEACH,1150 45TH STREET,PHARMACY,WEST PALM BEACH,FL,33407,07/01/2022 12:00:00 AM,https://www.hcdpbc.org/for-patients/primary-care-clinics,561-642-1000,POINT (-80.06983 26.75312)
CarbonHealth - East Colorado,600 east colorado blvd suite 120,,psadena,CA,91101,05/23/2022 12:00:00 AM,,,POINT (-118.13795 34.145515)
MEND URGENT CARE -SHERMAN OAKS,4312 WOODMAN AVE. SUITE 102,,SHERMAN OAKS,CA,91423,06/20/2022 12:00:00 AM,https://mendtesttotreat.as.me/,,POINT (-118.43103 34.14854)
ABC PHARMACY RIALTO,826 e foothill blvd,,rialto,CA,92376,,,,POINT (-117.354768 34.106777)
Optum Serve - Mendocino N State,1055 N State St,ATTN COVID Fixed Site EOA,Ukiah,CA,95482,07/06/2022 12:00:00 AM,https://lhi.care/covidtesting,,POINT (-123.21048 39.16501)
CVS STORE #08760,3333 CENTRAL STREET,CVS Pharmacy,EVANSTON,IL,60201,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.726955 42.065175)
NORRISTOWN REGIONAL HEALTH CENTER,1401 DeKalb Pike,,Norristown,PA,19401,07/08/2022 12:00:00 AM,https://dvch.org,610-278-7787,POINT (-75.333841 40.123645)
CVS Store #03814,4120 HENDERSON BLVD,CVS Pharmacy,TAMPA,FL,33629,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-82.513022 27.926995)
KROGER PHARMACY 02400752,3165 S 2ND ST,,LOUISVILLE,KY,40208,07/07/2022 12:00:00 AM,https://www.kroger.com/health/pharmacy/covid-19-treatment,,POINT (-85.761465 38.202595)
NEWARK URGENT CARE,324 E Main Street,,Newark,DE,19711,07/08/2022 12:00:00 AM,,,POINT (-75.73994 39.68433)
CVS Store #06910,505 EAST 1100 NORTH,CVS Pharmacy,CHESTERTON,IN,46304,07/08/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,POINT (-87.04435 41.59299)
