2022-02-16T08-23-53,43551,Omnicare of Northwest Ohio #48321,02/11/2022 12:00:00 AM,,0,8,02/15/2022 12:00:00 AM
2022-03-16T18-51-35,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,43551,Omnicare of Northwest Ohio #48321,NLP,NLP,NLP,8,03/24/2022 12:00:00 AM
