2022-03-03T09-56-49,89109,mAb Infusion Center- ABML-IEMH,02/28/2022 12:00:00 AM,,72,8,02/27/2022 12:00:00 AM
2022-03-03T10-04-44,89109,mAb Infusion Center- ABML-IEMH,03/01/2022 12:00:00 AM,,144,74,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,89109,mAb Infusion Center- ABML-IEMH,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,144,91,03/06/2022 12:00:00 AM
2022-03-16T18-51-35,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,129,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,102,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,102,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,55,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,43,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,36,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,36,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,36,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,22,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,22,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,22,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,86,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,113,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,122,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,89109,mAb Infusion Center- ABML-IEMH,NLP,NLP,NLP,122,04/02/2022 12:00:00 AM
